,Unnamed: 0.1,Unnamed: 0,nommun,estado,region,id_poligon,codigo_uni,eventos,inm_30km,inm_in_gri,inm_in_est,eventos_ed,eventos_gr,sc_30km,promedio_s,sc_estado,geometry,distancia_metros,distancia_km,max_vul2r1_normalized,max_vul2r2_normalized,max_vul2r3_normalized,max_vul2r4_normalized,inm_30km_adjusted,log_eventos_per_inm_30km,norm_log_eventos_per_inm_30km,latitud
68,68,68,"Mazatlan, Sinaloa",Sinaloa,Pacifico,PG761,P-PG761-1,976.0,1,1,1,1070,976,4,4.0,12.0,POINT (-106.4208391 23.2035785),1989017.0,1989.017,0.5721316125635648,0.48335405433036616,0.5202401053952489,0.331424481382802,2,6.192362489474872,0.5328001959157792,23.2035785
69,69,69,"Saltillo, Coahuila",Coahuila,Centro,PG1077,C-PG1077-1,925.0,1,1,4,26155,3453,64,74.2,72.0,POINT (-100.9927509 25.4230425),1742942.0,1742.942,,,,,2,6.13880638500591,0.5279676392085128,25.4230425
70,70,70,"Merida, Yucatan",Yucatan,Sur,PG1694,S-PG1694-1,930.0,1,1,1,938,930,7,7.0,9.0,POINT (-89.6237402 20.9670759),374364.0,374.364,0.2282946503523721,0.3406874351240401,0.23622422417120145,0.4862990214052752,2,6.144185634125646,0.5284530278802879,20.9670759
71,71,71,"Queretaro, Queretaro",Queretaro,Centro,PG1109,C-PG1109-1,871.0,0,0,0,2174,871,37,37.0,40.0,POINT (-100.3902245 20.5927744),1180844.0,1180.844,0.4716629582440894,0.2396545793411499,0.3196877017932414,0.21746037949743205,1,6.77078942390898,0.584993703815201,20.5927744
72,72,72,"Guaymas, Sonora",Sonora,Pacifico,PG534,P-PG534-1,863.0,0,0,2,31997,863,1,1.0,28.0,POINT (-110.8994059 27.9216441),2739835.0,2739.835,0.3057082805768545,0.21714652698927706,0.3128359111455163,0.17465600784063837,1,6.761572768804055,0.5841620524304055,27.9216441
73,73,73,"Altamira, Tamaulipas",Tamaulipas,Golfo,PG1228,G-PG1228-2,873.0,1,1,3,10385,1412,5,4.0,46.0,POINT (-97.9362975 22.3921625),1149502.0,1149.502,0.43509863236515245,0.351698020876089,0.26387899670326,0.19543179705049954,2,6.081076705797669,0.5227584860926846,22.3921625
74,74,74,"Torreon, Coahuila",Coahuila,Centro,PG921,C-PG921-3,824.0,1,1,4,26155,1696,4,2.666666667,72.0,POINT (-103.410512 25.542698),1974757.0,1974.757,,,,,2,6.023447592961033,0.517558407436219,25.542698
75,75,75,"Navojoa, Sonora",Sonora,Pacifico,PG611,P-PG611-1,834.0,0,0,2,31997,834,1,1.0,28.0,POINT (-109.4438227 27.0721872),2543410.0,2543.41,0.1192959645762386,0.07160225559663515,0.09009889160346524,0.07446702968366987,1,6.727431724850855,0.5810813852947903,27.0721872
76,76,76,"Frontera Comalapa, Chiapas",Chiapas,Sur,PG1531,S-PG1531-3,793.0,2,4,13,223058,988,0,3.0,117.0,POINT (-92.1422219 15.6590135),37111.0,37.111,0.4569465690338096,0.6072999769321499,0.5351386088875478,0.43138261466590544,3,5.580986897176273,0.4776336140943967,15.6590135
77,77,77,"Tepeji del Rio de Ocampo, Hidalgo",Hidalgo,Centro,PG1147,C-PG1147-3,788.0,0,0,1,1046,3846,3,2.75,6.0,POINT (-99.3487181526625 19.89368265),1047905.0,1047.905,,,,,1,6.670766320845874,0.5759682654943588,19.89368265
