,ciudad,latitude,longitude,etiqueta,entidad federativa / municipio,presentados 1,canalizados 1,subtotal 1,presentados 2,canalizados 2,subtotal 2,presentados 3,canalizados 3,subtotal 3,presentados 4,canalizados 4,subtotal 4,presentados 5,canalizados 5,subtotal 5,presentados 6,canalizados 6,subtotal 6,presentados 7,canalizados 7,subtotal 7,presentados 8,canalizados 8,subtotal 8,presentados 9,canalizados 9,subtotal 9,presentados 10,canalizados 10,subtotal 10,presentados 11,canalizados 11,subtotal 11,presentados 12,canalizados 12,subtotal 12,presentados total,canalizados total,total
188,"El Espinal, Oaxaca",16.4609135,-95.0581833,municipio,"Oaxaca de Juárez, Oax.",17,2,19,14,3,17,16,11,27,23,25,48,6,0,6,93,28,121,39,23,62,51,278,329,11,15,26,6,147,153,188,102,290,102,17,119,566,651,1217
162,"Doctor Arroyo, Nuevo León",23.80420455,-100.2256635,municipio,"General Escobedo, NL",9,0,9,0,0,0,2,4,6,0,0,0,20,2,22,1,0,1,2,0,2,0,0,0,252,161,413,85,147,232,28,71,99,141,279,420,540,664,1204
9,"Tijuana, Baja California",32.5317397,-117.019529,municipio,"Tecate, BC",2,0,2,0,0,0,43,30,73,2,22,24,109,55,164,38,45,83,40,19,59,29,0,29,0,3,3,79,26,105,70,14,84,90,22,112,502,236,738
47,"San Cristóbal de las Casas, Chiapas",16.6835469,-92.61551842,municipio,"San Cristóbal de las Casas, Chis.",48,23,71,180,41,221,135,16,151,50,16,66,0,0,0,0,2,2,82,106,188,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,495,205,700
70,"Francisco I. Madero, Coahuila",26.23755265,-103.0996556,municipio,"Saltillo, Coah.",154,21,175,97,85,182,75,21,96,19,16,35,10,4,14,3,25,28,2,0,2,1,16,17,1,5,6,0,0,0,18,29,47,112,211,323,492,433,925
75,"Saltillo, Coahuila",25.4230425,-100.9927509,municipio,"Durango, Dgo.",18,7,25,0,9,9,0,4,4,36,21,57,24,11,35,23,10,33,56,14,70,181,0,181,33,4,37,103,3,106,17,0,17,0,0,0,491,83,574
34,"Huehuetán, Chiapas",15.0217164,-92.42866979,municipio,"Frontera Hidalgo, Chis.",36,64,100,62,24,86,13,100,113,4,0,4,9,0,9,0,40,40,15,47,62,2,5,7,14,24,38,31,218,249,11,240,251,285,112,397,482,874,1356
71,"Guerrero, Coahuila",28.3093253,-100.3805564,municipio,"Torreón, Coah.",5,65,70,55,49,104,278,139,417,59,9,68,37,16,53,4,42,46,4,0,4,0,0,0,0,0,0,0,0,0,9,9,18,19,25,44,470,354,824
33,"Frontera Hidalgo, Chiapas",14.7531678,-92.21613683,municipio,"Frontera Comalapa, Chis.",105,104,209,81,42,123,168,63,231,54,20,74,12,1,13,0,26,26,0,0,0,0,56,56,0,15,15,16,30,46,0,0,0,0,0,0,436,357,793
37,"La Trinitaria, Chiapas",16.1206164,-92.0542431,municipio,"Jiquipilas, Chis.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,121,298,200,126,326,51,68,119,428,315,743
284,"Altamira, Tamaulipas",22.3921625,-97.9362975,municipio,"Jaumave, Tamps.",31,25,56,24,0,24,59,0,59,9,0,9,0,0,0,4,4,8,277,33,310,0,0,0,2,0,2,9,0,9,0,19,19,6,36,42,421,117,538
292,"Matamoros, Tamaulipas",25.8810158,-97.5064866,municipio,"San Fernando, Tamps.",6,18,24,36,13,49,63,46,109,0,0,0,0,0,0,3,0,3,167,30,197,0,0,0,25,7,32,85,100,185,0,38,38,24,42,66,409,294,703
251,"Angostura, Sinaloa",25.3657471,-108.16152,municipio,"Cajeme, Son.",0,0,0,0,0,0,0,75,75,36,9,45,109,11,120,138,71,209,7,0,7,0,0,0,0,0,0,0,6,6,42,229,271,52,254,306,384,655,1039
276,"Huimanguillo, Tabasco",17.7620967,-93.66344081,municipio,"Altamira, Tamps.",13,41,54,27,16,43,33,15,48,5,3,8,9,8,17,1,0,1,57,15,72,0,0,0,144,315,459,79,38,117,0,28,28,15,11,26,383,490,873
286,"Cruillas, Tamaulipas",24.7554618,-98.5369904,municipio,"Matamoros, Tamps.",76,0,76,153,0,153,130,3,133,0,4,4,0,0,0,0,3,3,0,0,0,0,1,1,1,3,4,0,0,0,0,0,0,0,0,0,360,14,374
11,"Los Cabos, Baja California Sur",23.27184805,-109.6897684,municipio,"La Paz, BCS",6,0,6,6,0,6,8,0,8,15,0,15,19,0,19,8,0,8,16,0,16,38,0,38,43,0,43,44,0,44,76,0,76,67,0,67,346,0,346
266,"Puerto Peñasco, Sonora",31.3170867,-113.531819,municipio,"Comalcalco, Tab.",0,0,0,0,0,0,0,0,0,0,0,0,52,0,52,143,1,144,85,0,85,52,0,52,1,0,1,0,0,0,0,0,0,0,0,0,333,1,334
2,"Jesús María, Aguascalientes",21.9345555,-102.4684517,municipio,"Jesús María, Ags.",153,13,166,155,19,174,1,0,1,0,0,0,0,0,0,0,0,0,6,4,10,2,2,4,5,3,8,3,26,29,2,5,7,0,0,0,327,72,399
171,"Juárez, Nuevo León",25.6467011,-100.0907766,municipio,"Monterrey, NL",6,4,10,1,8,9,7,5,12,25,7,32,18,0,18,29,7,36,2,0,2,26,46,72,57,9,66,9,11,20,18,1,19,121,29,150,319,127,446
57,"Villa Corzo, Chiapas",16.0631888,-93.26500253,municipio,"Villa Corzo, Chis.",237,24,261,8,0,8,3,1,4,5,0,5,27,6,33,19,21,40,4,19,23,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,303,77,380
297,"San Fernando, Tamaulipas",24.8466769,-98.1473493,municipio,"Apetatitlán de Antonio Carvajal, Tlax.",214,1,215,7,0,7,10,2,12,5,0,5,4,1,5,1,0,1,15,5,20,2,2,4,7,0,7,7,0,7,26,8,34,3,1,4,301,20,321
224,"Santa María Tonameca, Oaxaca",15.745833,-96.547222,municipio,"Tlacolula de Matamoros, Oax.",0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,16,0,16,23,0,23,0,0,0,85,8,93,93,6,99,59,22,81,20,16,36,297,54,351
239,"Querétaro, Querétaro",20.5927744,-100.3902245,municipio,"Othón P. Blanco, Q. Roo",7,0,7,21,4,25,12,0,12,5,0,5,1,0,1,16,1,17,71,12,83,36,11,47,33,13,46,43,2,45,37,13,50,9,0,9,291,56,347
234,"Villa de Tututepec, Oaxaca",16.1303062,-97.6080871,municipio,"San Juan del Río, Qro.",66,3,69,0,0,0,0,0,0,155,0,155,4,3,7,0,0,0,0,1,1,1,256,257,0,396,396,63,353,416,0,2,2,0,0,0,289,1014,1303
365,"Pueblo Viejo, Veracruz",22.1638426,-97.89855507,municipio,"Pueblo Viejo, Ver.",13,26,39,33,31,64,89,78,167,40,19,59,8,3,11,4,1,5,46,13,59,0,0,0,49,31,80,0,0,0,0,0,0,0,0,0,282,202,484
