,Municipio,Total,Año
543,"Lázaro Cárdenas, Mich.",16,2021
544,"Morelia, Mich.",38,2021
545,"Queréndaro, Mich.",1,2021
546,"Zinapécuaro, Mich.",32,2021
549,"Ayala, Mor.",1,2021
550,"Coatlán del Río, Mor.",2,2021
551,"Cuautla, Mor.",1,2021
552,"Cuernavaca, Mor.",38,2021
553,"Huitzilac, Mor.",2,2021
554,"Jojutla, Mor.",5,2021
555,"Puente de Ixtla, Mor.",2,2021
556,"Yautepec, Mor.",5,2021
559,"Bahía de Banderas, Nay.",5,2021
560,"Santa María del Oro, Nay.",105,2021
561,"Tepic, Nay.",254,2021
564,"Allende, NL",125,2021
565,"Anáhuac, NL",39,2021
566,"Apodaca, NL",2215,2021
567,"Aramberri, NL",45,2021
568,"Cadereyta Jiménez, NL",1127,2021
569,"China, NL",1152,2021
570,"Ciénega de Flores, NL",70,2021
571,"Doctor Arroyo, NL",61,2021
572,"Doctor Coss, NL",4,2021
573,"El Carmen, NL",28,2021
574,"Galeana, NL",3028,2021
575,"García, NL",44,2021
576,"General Bravo, NL",820,2021
577,"General Escobedo, NL",491,2021
578,"General Terán, NL",59,2021
579,"General Zuazua, NL",164,2021
580,"Guadalupe, NL",179,2021
581,"Hidalgo, NL",1,2021
582,"Hualahuises, NL",15,2021
583,"Iturbide, NL",54,2021
584,"Juárez, NL",276,2021
585,"Linares, NL",285,2021
586,"Los Ramones, NL",106,2021
587,"Mina, NL",9,2021
588,"Montemorelos, NL",79,2021
589,"Monterrey, NL",3957,2021
590,"Pesquería, NL",385,2021
591,"San Nicolás de los Garza, NL",30,2021
592,"San Pedro Garza García, NL",6,2021
593,"Santa Catarina, NL",45,2021
594,"Santiago, NL",11,2021
608,"Asunción Ixtaltepec, Oax.",18,2021
609,"Asunción Nochixtlán, Oax.",62,2021
610,"Chahuites, Oax.",1,2021
611,"Ciudad Ixtepec, Oax.",10,2021
612,"El Barrio de la Soledad, Oax.",4,2021
613,"El Espinal, Oax.",29,2021
614,"Heroica Ciudad de Ejutla de Crespo, Oax.",1,2021
615,"Heroica Ciudad de Huajuapan de León, Oax.",175,2021
616,"Juchitán de Zaragoza, Oax.",305,2021
617,"La Reforma, Oax.",6,2021
618,"Loma Bonita, Oax.",1005,2021
619,"Magdalena Apasco, Oax.",49,2021
620,"Magdalena Tequisistlán, Oax.",16,2021
621,"Matías Romero Avendaño, Oax.",96,2021
622,"Miahuatlán de Porfirio Díaz, Oax.",26,2021
623,"Nazareno Etla, oaX.",7,2021
624,"Oaxaca de Juárez, Oax.",613,2021
625,"Ocotlán de Morelos, Oax.",2,2021
626,"Salina Cruz, Oax.",184,2021
627,"San Antonio de la Cal, Oax.",3,2021
628,"San Bartolo Coyotepec, Oax.",138,2021
629,"San Carlos Yautepec, Oax.",16,2021
630,"San Dionisio Ocotepec, Oax.",14,2021
631,"San Francisco Lachigoló, Oax.",32,2021
632,"San Francisco Telixtlahuaca, Oax.",23,2021
633,"San Jacinto Amilpas, Oax.",1,2021
634,"San Juan Bautista Coixtlahuaca, Oax.",259,2021
635,"San Juan Bautista Cuicatlán, Oax.",81,2021
636,"San Juan Bautista Guelache, Oax.",1,2021
637,"San Juan Bautista Tuxtepec, Oax.",256,2021
638,"San Juan Guichicovi, Oax.",172,2021
639,"San Lorenzo Cacaotepec, Oax.",42,2021
640,"San Pablo Etla, Oax.",14,2021
641,"San Pablo Huitzo, Oax.",920,2021
642,"San Pablo Villa de Mitla, Oax.",50,2021
643,"San Pedro Mixtepec -Dto. 22 -, Oax.",1,2021
644,"San Pedro Pochutla, Oax.",1,2021
645,"San Pedro Tapanatepec, Oax.",1826,2021
646,"San Pedro Totolápam, Oax.",60,2021
647,"San Sebastián Tutla, Oax.",77,2021
648,"Santa Cruz Xoxocotlán, Oax.",5,2021
649,"Santa Lucía del Camino, Oax.",11,2021
650,"Santa María Atzompa, Oax.",3,2021
651,"Santa María Coyotepec, Oax.",4,2021
652,"Santa María Huatulco, Oax.",105,2021
653,"Santa María Jalapa del Marqués, Oax.",369,2021
654,"Santa María Tonameca, Oax.",1,2021
655,"Santiago Laollaga, Oax.",3,2021
656,"Santiago Matatlán, Oax.",66,2021
657,"Santiago Niltepec, Oax.",339,2021
658,"Santiago Suchilquitongo, Oax.",17,2021
659,"Santiago Yaveo, Oax.",24,2021
660,"Santo Domingo Ingenio, Oax.",11,2021
661,"Santo Domingo Tehuantepec, Oax.",486,2021
662,"Santo Domingo Zanatepec, Oax.",5,2021
663,"Teotitlán del Valle, Oax.",1,2021
664,"Tepelmeme Villa de Morelos, Oax.",31,2021
665,"Tlacolula de Matamoros, Oax.",37,2021
666,"Unión Hidalgo, Oax.",7,2021
667,"Villa de Etla, Oax.",17,2021
668,"Villa de Zaachila, Oax.",2,2021
671,"Puebla, Pue.",4891,2021
672,"San Martín Texmelucan, Pue.",6,2021
673,"Soltepec, Pue.",97,2021
676,"Arroyo Seco, Qro.",72,2021
677,"El Marqués, Qro.",634,2021
678,"Jalpan de Serra, Qro.",7,2021
679,"Pedro Escobedo, Qro.",2,2021
680,"Querétaro, Qro.",709,2021
681,"San Juan del Río, Qro.",108,2021
682,"Tequisquiapan, Qro.",120,2021
683,"Tolimán, Qro.",114,2021
686,"Bacalar, Q. Roo",20,2021
687,"Benito Juárez, Q. Roo",1052,2021
688,"Cozumel, Q. Roo",57,2021
689,"Felipe Carrillo Puerto, Q. Roo",2,2021
690,"Isla Mujeres, Q. Roo",4,2021
691,"Othón P. Blanco, Q. Roo",330,2021
692,"Solidaridad, Q. Roo",151,2021
693,"Tulum, Q. Roo",4,2021
696,"San Luis Potosí, SLP",7988,2021
699,"Ahome, Sin.",2,2021
700,"Culiacán, Sin.",1,2021
701,"Escuinapa, Sin.",101,2021
702,"Guasave, Sin.",9,2021
703,"Mazatlán, Sin.",927,2021
704,"Rosario, Sin.",369,2021
707,"Agua Prieta, Son.",28,2021
708,"General Plutarco Elías Calles, Son.",32,2021
709,"Guaymas, Son.",3,2021
710,"Hermosillo, Son.",13995,2021
711,"Nogales, Son.",20,2021
712,"Puerto Peñasco, Son.",1,2021
713,"San Luis Río Colorado, Son.",96,2021
716,"Balancán, Tab.",151,2021
717,"Cárdenas, Tab.",233,2021
718,"Centro, Tab.",8555,2021
719,"Comalcalco, Tab.",51,2021
720,"Cunduacán, Tab.",264,2021
721,"Emiliano Zapata, Tab.",1499,2021
722,"Huimanguillo, Tab.",18618,2021
723,"Jalapa, Tab.",6,2021
724,"Jonuta, Tab.",11,2021
725,"Macuspana, Tab.",5059,2021
726,"Nacajuca, Tab.",1,2021
727,"Paraíso, Tab.",1,2021
728,"Tacotalpa, Tab.",33,2021
729,"Teapa, Tab.",21,2021
730,"Tenosique, Tab.",10718,2021
733,"Aldama, Tamps.",9,2021
734,"Altamira, Tamps.",933,2021
735,"Antiguo Morelos, Tamps.",63,2021
736,"Ciudad Madero, Tamps.",8,2021
737,"Cruillas, Tamps.",185,2021
738,"El Mante, Tamps.",21,2021
739,"González, Tamps.",210,2021
740,"Hidalgo, Tamps.",440,2021
741,"Jaumave, Tamps.",13,2021
742,"Llera, Tamps.",3,2021
743,"Matamoros, Tamps.",325,2021
744,"Nuevo Laredo, Tamps.",3297,2021
745,"Padilla, Tamps.",2,2021
746,"Reynosa, Tamps.",17304,2021
747,"San Fernando, Tamps.",1,2021
748,"Soto la Marina, Tamps.",20,2021
749,"Tampico, Tamps.",2019,2021
750,"Victoria, Tamps.",241,2021
753,"Apetatitlán de Antonio Carvajal, Tlax.",204,2021
754,"Apizaco, Tlax.",2872,2021
755,"Atlangatepec, Tlax.",4,2021
756,"Calpulalpan, Tlax.",678,2021
757,"Chiautempan, Tlax.",15,2021
758,"Cuapiaxtla, Tlax.",701,2021
759,"Cuaxomulco, Tlax.",3,2021
760,"Huamantla, Tlax.",72,2021
761,"Ixtacuixtla de Mariano Matamoros, Tlax.",1473,2021
762,"Ixtenco, Tlax.",8,2021
763,"Mazatecochco de José María Morelos, Tlax.",22,2021
764,"Muñoz de Domingo Arenas, Tlax.",2,2021
765,"Papalotla de Xicohténcatl, Tlax.",36,2021
766,"San José Teacalco, Tlax.",14,2021
767,"San Pablo del Monte, Tlax.",135,2021
768,"Sanctórum de Lázaro Cárdenas, Tlax.",237,2021
769,"Santa Apolonia Teacalco, Tlax.",4,2021
770,"Tetla de la Solidaridad, Tlax.",3,2021
771,"Tlaxcala, Tlax.",540,2021
772,"Tlaxco, Tlax.",1584,2021
773,"Tocatlán, Tlax.",408,2021
774,"Tzompantepec, Tlax.",5,2021
775,"Yauhquemehcan, Tlax.",41,2021
776,"Zacatelco, Tlax.",4,2021
779,"Acayucan, Ver.",14530,2021
780,"Agua Dulce, Ver.",7,2021
781,"Alvarado, Ver.",132,2021
782,"Atoyac, Ver.",43,2021
783,"Carlos A. Carrillo, Ver.",12,2021
784,"Catemaco, Ver.",4,2021
785,"Coatzacoalcos, Ver.",427,2021
786,"Córdoba, Ver.",210,2021
787,"Cosamaloapan de Carpio, Ver.",281,2021
788,"Cosoleacaque, Ver.",317,2021
789,"Cotaxtla, Ver.",86,2021
790,"Cuitláhuac, Ver.",130,2021
791,"El Higo, Ver.",4,2021
792,"Fortín, Ver.",75,2021
793,"Hueyapan de Ocampo, Ver.",5,2021
794,"Ixhuatlán de Madero, Ver.",14,2021
795,"Ixhuatlán del Sureste, Ver.",8,2021
796,"Jesús Carranza, Ver.",5,2021
797,"La Antigua, Ver.",56,2021
798,"Las Choapas, Ver.",560,2021
799,"Martínez de la Torre, Ver.",1,2021
