,nommun,2020,2021,2022,2023,2024,id_poligon,geometry
261,"Jesus Carranza, Veracruz",0,5,48,5395,3077,PG1377,POINT (-94.9094973063052 17.38793115)
262,"Jesus Maria, Aguascalientes",13,137,211,399,94,PG994,POINT (-102.468451716512 21.9345555)
263,"Jilotepec, Estado de Mexico",0,0,206,0,0,,
264,"Jimenez, Tamaulipas",0,0,0,1,0,PG1192,POINT (-98.483929 24.2169169)
265,"Jiquipilas, Chiapas",1,0,0,743,2958,PG1454,POINT (-93.6056542788837 16.57497565)
266,"Jiutepec, Morelos",0,0,0,0,1,,
267,"Jojutla, Morelos",0,5,2,0,0,,
268,"Jonuta, Tabasco",0,11,27,0,67,,
269,"Juan Rodriguez Clara, Veracruz",0,0,33,8,4,PG1378,POINT (-95.344127993385 17.97320895)
270,"Juchitan de Zaragoza, Oaxaca",23,305,1288,2625,299,PG1376,POINT (-94.9118794582709 16.413329)
271,"Juarez, Chihuahua",794,8236,12025,7964,2134,PG774,POINT (-106.485655 31.7372575)
272,"Juarez, Coahuila",0,0,10,0,0,,
273,"Juarez, Nuevo Leon",46,276,392,180,24,PG1116,POINT (-100.0907766 25.6467011)
274,"Kanasin, Yucatan",0,0,55,0,0,,
275,"Kantunil, Yucatan",0,0,0,0,3,,
276,"La Antigua, Veracruz",25,56,29,160,0,PG1302,POINT (-96.3186409251967 19.3176799)
277,"La Concordia, Chiapas",0,19,19,0,0,,
278,"La Independencia, Chiapas",177,0,0,0,0,,
279,"La Magdalena Tlaltelulco, Tlaxcala",0,0,27,0,5,,
280,"La Paz, Baja California Sur",6,47,94,346,413,PG529,POINT (-110.3158532 24.1619948)
281,"La Paz, Estado de Mexico",0,0,39,0,0,,
282,"La Piedad, Michoacan",0,0,19,0,0,,
283,"La Reforma, Oaxaca",0,6,0,0,42,,
284,"La Trinitaria, Chiapas",739,820,1106,17,0,PG1531,POINT (-92.0542431 16.1206164)
285,"Lagos de Moreno, Jalisco",0,2,0,0,0,,
286,"Lampazos de Naranjo, Nuevo Leon",2,0,31,0,0,,
287,"Las Choapas, Veracruz",0,560,235,300,522,PG1455,POINT (-93.9400086353229 17.56348585)
288,"Las Margaritas, Chiapas",13,0,0,0,0,,
289,"Las Vigas de Ramirez, Veracruz",0,0,1,0,0,,
290,"Lerdo de Tejada, Veracruz",0,0,34,0,0,,
291,"Leon, Guanajuato",9,9,1,3,0,PG1031,POINT (-101.6825081 21.1218598)
292,"Linares, Nuevo Leon",26,285,112,19,2,PG1154,POINT (-99.5684539 24.8596282)
293,"Llera, Tamaulipas",0,3,16,0,0,,
294,"Loma Bonita, Oaxaca",0,1005,1545,0,0,,
295,"Loreto, Baja California Sur",0,0,0,0,4,,
296,"Loreto, Zacatecas",0,1,0,0,0,,
297,"Los Cabos, Baja California Sur",8,42,36,58,66,PG566,POINT (-109.689768413063 23.27184805)
298,"Los Ramones, Nuevo Leon",0,106,112,7,2,PG1155,POINT (-99.6250811 25.6973768)
299,"Lazaro Cardenas, Michoacan",2,16,14,1,7,PG988,POINT (-102.198659 17.9594769)
300,"Macuspana, Tabasco",366,5059,2291,31739,45254,PG1534,POINT (-92.596108 17.760922)
301,"Magdalena Apasco, Oaxaca",0,49,0,0,0,,
302,"Magdalena Tequisistlan, Oaxaca",0,16,34,0,0,,
303,"Magdalena, Jalisco",0,0,62,0,0,,
304,"Magdalena, Sonora",0,0,0,0,52,,
305,"Manzanillo, Colima",2,2,1,10,3,PG872,POINT (-104.3159957 19.0506256)
306,"Mapastepec, Chiapas",5,17,377,35,0,PG1491,POINT (-92.898367 15.43981)
307,"Mapimi, Durango",0,0,0,23,0,PG921,POINT (-103.8480216 25.8337403)
308,"Maravatio, Michoacan",0,0,3,0,0,,
309,"Martinez de la Torre, Veracruz",0,1,0,15,0,PG1264,POINT (-97.0461646766573 20.1197165)
310,"Matamoros, Tamaulipas",345,325,66,374,10,PG1272,POINT (-97.5064866 25.8810158)
311,"Matias Romero Avendano, Oaxaca",125,96,307,157,99,PG1376,POINT (-95.0405586 16.8761133)
312,"Maxcanu, Yucatan",0,0,3,0,0,,
313,"Mazapil, Zacatecas",0,14,0,0,0,,
314,"Mazatecochco de Jose Maria Morelos, Tlaxcala",0,22,0,0,0,,
315,"Mazatepec, Morelos",0,0,1,0,0,,
316,"Mazatlan, Sinaloa",416,927,1200,976,374,PG761,POINT (-106.4208391 23.2035785)
317,"Mazatan, Chiapas",1,0,7,0,23,,
318,"Medellin de Bravo, Veracruz",44,32,0,27,0,PG1340,POINT (-96.1442918 19.0404677)
319,"Metapa, Chiapas",114,2,469,0,0,,
320,"Metepec, Estado de Mexico",0,0,2,0,6,,
321,"Mexicali, Baja California",418,1410,9172,5667,2827,PG268,POINT (-115.474899 32.6405247)
322,"Mezcalapa, Chiapas",18,2738,2309,439,354,PG1455,POINT (-93.6349751688609 17.2364959)
323,"Miahuatlan de Porfirio Diaz, Oaxaca",12,26,76,12,3,PG1298,POINT (-96.5850578538718 16.3610815)
324,"Miguel Aleman, Tamaulipas",7,0,32,16,10,PG1156,POINT (-99.0314218 26.3995446)
325,"Mina, Nuevo Leon",5,9,663,2343,743,PG1077,POINT (-100.5300485 26.0025145)
