,nommun,2020,2021,2022,2023,2024,id_poligon,geometry
642,"Zihuatanejo de Azueta, Guerrero",1,6,26,14,0,PG1027,POINT (-101.496952435006 17.80789995)
643,"Ziltlaltepec de Trinidad Sanchez Santos, Tlaxcala",0,0,0,18,0,,
644,"Zimapan, Hidalgo",0,98,0,0,0,,
645,"Zimatlan de Alvarez, Oaxaca",0,0,19,0,0,,
646,"Zinacantepec, Estado de Mexico",0,0,0,0,2,,
647,"Zinapecuaro, Michoacan",0,32,0,176,23,PG1069,POINT (-100.770909712988 19.8563181)
648,"Zumpango, Estado de Mexico",0,8,0,155,947,PG1147,POINT (-99.081809533527 19.81293675)
649,"Alamo Temapache, Veracruz",0,0,0,3,0,PG1226,POINT (-97.7557841914082 20.9951932)
650,"Alvaro Obregon, Michoacan",0,0,0,1,0,,
651,"Angel Albino Corzo, Chiapas",0,0,24,0,0,,
652,"Onavas, Sonora",0,0,0,0,19,,
