name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Comisión de Defensa de los Derechos Humanos del Estado de Guerrero,CNDH,17.5534615,-99.5039607,"(17.5534615, -99.5039607)",OSC / ONG,"Av. Juárez s/n, esquina Galo Soberón y Parra, C.P. 39000, Chilpancingo, Guerrero.",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,16.8509419,-99.8496578,"(16.8509419, -99.8496578)",OSC / ONG,"Calle Cristóbal Colón 12, Fraccionamiento Costa Azul, C.P. 39850, Acapulco, Guerrero.",Directorio OIM
Comisión de Derechos Humanos del Estado de Hidalgo,CNDH,26.9333859,-105.7091379,"(26.9333859, -105.7091379)",OSC / ONG,Comisión de Derechos Humanos del Estado de Hidalgo,Directorio OIM
Comisión Estatal de Derechos Humanos de Jalisco,CNDH,20.6754988,-103.3645878,"(20.6754988, -103.3645878)",OSC / ONG,"Pedro Moreno No. 1616, Col. Americana, C.P. 44160, Guadalajara, Jalisco",Directorio OIM
Comisión Estatal de los Derechos Humanos de Michoacán,CNDH,19.6968117,-101.1751514,"(19.6968117, -101.1751514)",OSC / ONG,"Calle Fernando Montes de Oca No. 108, Col. Chapultepec Norte, C.P. 58260, Morelia, Michoacán",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,"(nan, nan)",OSC / ONG,"Av. Del Estudiante 102, Col. Matamoros, C.P. 58240, Morelia, Michoacán.",Directorio OIM
Comisión de Derechos Humanos del Estado de Morelos,CNDH,,,"(nan, nan)",OSC / ONG,"Hermenegildo Galeana No. 39, Col. Acapantzingo, C.P. 62440, Cuernavaca, Morelos",Directorio OIM
Comisión de Defensa de los Derechos Humanos para el Estado de Nayarit,CNDH,,,"(nan, nan)",OSC / ONG,"Avenida Prisciliano Sánchez, No. 8 sur, esquina avenida Allende Altos, col. Centro, C.P. 63000, Tepic, Nayarit",Directorio OIM
Comisión Estatal de Derechos Humanos de Nuevo León,CNDH,,,"(nan, nan)",OSC / ONG,"Av. Ignacio Morones Prieto No. 2110 pte., Edif. Manchester,local 2, col. Loma Larga, C.P. 64710, Monterrey, Nuevo León",Directorio OIM
Defensoría de los Derechos Humanos del Pueblo de Oaxaca,CNDH,17.06997445,-96.71182938667118,"(17.06997445, -96.71182938667118)",OSC / ONG,"Calle de los Derechos Humanos No. 210, Col. América, C.P. 68050, Oaxaca, Oaxaca",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,16.5495134,-95.1054954,"(16.5495134, -95.1054954)",OSC / ONG,"Av. México s/n, esquina Nicolás Bravo, Col. Estación, C.P. 70110, Ixtepec, Oaxaca",Directorio OIM
Comisión de Derechos Humanos del Estado de Puebla,CNDH,19.04281015,-98.19839638753865,"(19.04281015, -98.19839638753865)",OSC / ONG,"5 Poniente no. 339, Col. Centro, C.P. 72000, Puebla, Puebla",Directorio OIM
Defensoría de los Derechos Humanos de Querétaro,CNDH,3.4739833,-76.5266302,"(3.4739833, -76.5266302)",OSC / ONG,"Av. Hidalgo No. 6, Col. Centro, C.P. 76000, Querétaro, Qro.",Directorio OIM
Comisión de Derechos Humanos del Estado de Quintana Roo,CNDH,,,"(nan, nan)",OSC / ONG,"Av. Adolfo López Mateos No. 424, Col. Campestre CP. 77030, Chetumal, Quintana Roo ",Directorio OIM
Comisión Estatal de Derechos Humanos de San Luis Potosí,CNDH,22.1513209,-100.9959592,"(22.1513209, -100.9959592)",OSC / ONG,"Mariano Otero No. 685, Col. Tequisquiapan, C.P. 78250, San Luis Potosí, S.L.P.",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,22.14282,-101.00205257310282,"(22.14282, -101.00205257310282)",OSC / ONG,"Calle Valentín Gama 865, Col. Las Águilas C.P. 78260, San Luis Potosí.",Directorio OIM
Comisión Estatal de los Derechos Humanos de Sinaloa,CNDH,24.7992942,-107.3928447,"(24.7992942, -107.3928447)",OSC / ONG,"Ruperto L. Paliza No. 566 sur, Col. Miguel Alemán,C.P. 80200, Culiacán, Sinaloa.",Directorio OIM
Comisión Estatal de Derechos Humanos de Sonora,CNDH,29.1459004,-110.9748423,"(29.1459004, -110.9748423)",OSC / ONG,"Blvd. Luis Encinas Esq. Blvd. Solidaridad, Col. Choyal, C.P. 83130, Hermosillo Sonora",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,"(nan, nan)",OSC / ONG,"Av. Álvaro Obregón 360 Altos, Col. Centro C.P. 84ooo, Nogales, Sonora.",Directorio OIM
Comisión Estatal de los Derechos Humanos de Tabasco,CNDH,,,"(nan, nan)",OSC / ONG,"Blvd. Adolfo Ruiz Cortínes, esquina prolongación Francisco J. Mina #503, Col. Casa Blanca, Villahermosa, Tabasco",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,18.0013809,-92.9275597,"(18.0013809, -92.9275597)",OSC / ONG,"Av. Ruiz Cortines 54, Col. Magisterial C.P. 86040, Villahermosa, Tabasco",Directorio OIM
Comisión de Derechos Humanos del Estado de Tamaulipas,CNDH,,,"(nan, nan)",OSC / ONG,"Calle Río Guayalejo No. 223, fraccionamiento Zuzaya, C.P. 87070, Cd. Victoria, Tamaulipas",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,26.0854169,-98.2729536,"(26.0854169, -98.2729536)",OSC / ONG,"Calle Ortiz Rubio 801, Col. Medardo González, C.P. 88550, Reynosa, Tamaulipas.",Directorio OIM
Comisión Estatal de Derechos Humanos de Tlaxcala,CNDH,,,"(nan, nan)",OSC / ONG,"Arquitectos No. 27, Col. Loma Bonita, C.P. 90090, Tlaxcala, Tlaxcala",Directorio OIM
Comisión Estatal de Derechos Humanos de Veracruz,CNDH,19.5284809,-96.9206629,"(19.5284809, -96.9206629)",OSC / ONG,"Calle Carrillo Puerto No. 21, Zona Centro, C.P. 91000, Xalapa Enríquez, Veracruz ",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,18.1472859,-94.4135422,"(18.1472859, -94.4135422)",OSC / ONG,"Av. Zaragoza 102, Col. Centro C.P. 96400, Coatzacoalcos, Veracruz.",Directorio OIM
Comisión de Derechos Humanos del Estado de Yucatán,CNDH,,,"(nan, nan)",OSC / ONG,"Calle 20 No. 391-A, por 31D y 31f, colonia Nueva Alemán, C.P. 97146, Mérida, Yucatán",Directorio OIM
Oficina de la Comisión Nacional de los Derechos Humanos,CNDH,,,"(nan, nan)",OSC / ONG,"Calle 60, No. 283, entre 23 y 25, Col. Alcalá Martín, C.P. 97050, Mérida, Yucatán.",Directorio OIM
Comisión de Derechos Humanos del Estado de Zacatecas,CNDH,,,"(nan, nan)",OSC / ONG,"Av. Jesús Reyes Heroles No. 204, Col. Javier Barros Sierra, C.P. 98090, Zacatecas",Directorio OIM
