name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
Movilidad Humana de Morelia,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Morelia 1ro de Mayo 255 y 225, Col. Centro C.P. 58000",Directorio OIM
Obsidiana,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Calle Amado Nervo 164A, Col. Everardo Peña Navarro C.P. 63940",Directorio OIM
San José,Albergue / Comedor,21.5088255,-104.8892938,"(21.5088255, -104.8892938)",OSC / ONG,"Padre Enrique Mejía 194, Col. Centro C.P. 63000",Directorio OIM
San Nicolás Tolentino,Albergue / Comedor,25.6642097,-100.2144255,"(25.6642097, -100.2144255)",OSC / ONG,"Emiliano Zapata 4417, Col. Guadalupe Victoria C.P. 67180",Directorio OIM
Vislumbrando un Nuevo Horizonte,Albergue / Comedor,-33.89332153061224,-60.57105906122449,"(-33.89332153061224, -60.57105906122449)",OSC / ONG,"Av. 5 de Mayo 494, Col. Centro C.P.64000",Directorio OIM
"monterrey, nuevo león",Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Emiliano Carranza 301, Col. Centro C.P.64000",Directorio OIM
"monterrey, nuevo león",Albergue / Comedor,40.6555618,-3.7543732,"(40.6555618, -3.7543732)",OSC / ONG,"Av. Bernardo Reyes 2404, Col. Industrial C.P. 64410",Directorio OIM
"monterrey, nuevo león",Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Cond. Acero, Oficina 612, Zaragoza 1000 esquina con Ocampo C.P. 64000",Directorio OIM
Santa Martha,Albergue / Comedor,4.6201157,-74.0903431,"(4.6201157, -74.0903431)",OSC / ONG,"Calle José Maria Bocanegra, esq. Amado Nervo, Col. Industrial C.P.64440",Directorio OIM
Casa Monarca,Albergue / Comedor,25.6694898,-100.4617456,"(25.6694898, -100.4617456)",OSC / ONG,"Priv. Nicolás Bravo 510, Col. Nueva Santa Catarina, C.P. 66350",Directorio OIM
Ruchagalú,Albergue / Comedor,16.8928423,-95.0401948,"(16.8928423, -95.0401948)",OSC / ONG,"Av. 1ro de mayo 1110, Col. Rincón Viejo Santa María Petapa, C.P. 70370",Directorio OIM
COMI,Albergue / Comedor,19.1996151,-99.5003113,"(19.1996151, -99.5003113)",OSC / ONG,"Callejón de Guadalupe Victoria s/n, Col. Centro C.P. 68000",Directorio OIM
"Hermanos en el Camino, A.C.",Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Av. Ferrocarril Pte. 60, Barrio La Soledad C.P. 70110",Directorio OIM
Humanitaria a Migrantes en Tránsito,Albergue / Comedor,19.3817116,-98.531076,"(19.3817116, -98.531076)",OSC / ONG,"Calle 45 Norte 206, Col. Aquiles Serdán C.P.72140",Directorio OIM
María Auxiliadora,Albergue / Comedor,19.4305705,-96.9643952,"(19.4305705, -96.9643952)",OSC / ONG,"Calle 78 Pte. 915, Col. 20 de Noviembre C.P. 62230",Directorio OIM
Nuestra Señora de los Desamparados,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Av. 36 Poniente 3308, Col. Nueva Aurora (atrás de la Central de Autobuses de Puebla) C.P. 42070",Directorio OIM
San Felipe Hueyotlipan,Albergue / Comedor,19.0859633,-98.2109754,"(19.0859633, -98.2109754)",OSC / ONG,"Calle 5 de Febrero 1, Col. San Felipe Hueyotlipan C.P. 72030",Directorio OIM
"Toribio Romo, A.C.",Albergue / Comedor,20.6426733,-100.3985327,"(20.6426733, -100.3985327)",OSC / ONG,"Priv. Campesinos 1, Col. San Pedrito Peñuelas C.P. 76148",Directorio OIM
Marista al Migrante,Albergue / Comedor,20.6016889,-100.38500341158252,"(20.6016889, -100.38500341158252)",OSC / ONG,"Marte 2, Col. Centro Universidad Marista de Queretaro C.P. 76000",Directorio OIM
"González y Martínez, A.C.",Albergue / Comedor,31.7402009,-106.4831076330708,"(31.7402009, -106.4831076330708)",OSC / ONG,"Antigua Estación Bernal, C.P. 76776",Directorio OIM
Hogar del Migrante,Albergue / Comedor,22.1647974,-100.9775358,"(22.1647974, -100.9775358)",OSC / ONG,"Juán Álvarez 210, Barrio de Tlaxcala C.P. 78038",Directorio OIM
Una Gota en el Océano,Albergue / Comedor,23.2375837,-106.3860717,"(23.2375837, -106.3860717)",OSC / ONG,"Bahía Magdalena 20, Col. Rincón de Urías C.P. 82070",Directorio OIM
"mazatlán, sinaloa",Albergue / Comedor,23.254348,-106.4268821,"(23.254348, -106.4268821)",OSC / ONG,"Toma de Celaya 86, Col. Francisco Villa C.P. 82127",Directorio OIM
YMCA,Albergue / Comedor,15.5160218,-88.0288374,"(15.5160218, -88.0288374)",OSC / ONG,Calle 1 avenida 12 y 13 colonia Centro C.P. 84200,Directorio OIM
Exodus,Albergue / Comedor,4.8088665,-75.6931387,"(4.8088665, -75.6931387)",OSC / ONG,"Calle 6 y Avenida Anahuac, Col. Ferrocarril, C.P. 84200",Directorio OIM
Agua Prieta,Albergue / Comedor,14.65529935,-90.52787383611513,"(14.65529935, -90.52787383611513)",OSC / ONG,"Calle Primera, Av. 3, s/n, C.P. 26000",Directorio OIM
CCAMYN,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Gonzalo Senday 79, Col. Buenos Aires CP. 83750",Directorio OIM
"Pueblo Sin Fronteras, A.C.",Albergue / Comedor,32.4623633,-114.80662765,"(32.4623633, -114.80662765)",OSC / ONG,"Av. López Collado, Col. Eleazar Ortiz C.P. 83621",Directorio OIM
"San Juan Bosco, I.A.P.",Albergue / Comedor,6.260074449999999,-75.58421238405559,"(6.260074449999999, -75.58421238405559)",OSC / ONG,"Calle Montaño 1063-A, Col. Municipal C.P. 84035",Directorio OIM
de Ayuda al Migrante,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Blvd. Benito Juárez s/n , Col. Industrial C.P. 83600 (Domicilio de Parroquia)",Directorio OIM
Nazareth,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,Canalización por Iniciativa KINO,Directorio OIM
San Luis Gonzaga,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Cayaco 12, Ejido La Victoria Punta Bella C.P.  83304",Directorio OIM
Deportados Iniciativa KINO,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,Canalización por Iniciativa KINO,Directorio OIM
Frontera Norte en México,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Línea Internacional, Garita 2, Intersección de Reforma y Periférico Luis Donaldo Colosio 55, Col. Del Rosario C.P. 84000",Directorio OIM
"Pueblo Sin Fronteras, A.C",Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Calle Hermenegildo Galeana Lt. 7, entre Guaymas y Empalme, Col. Burocrata C.P.8570",Directorio OIM
"La Divina Providencia, I.A.P",Albergue / Comedor,32.4761753,-114.7765312,"(32.4761753, -114.7765312)",OSC / ONG,"Av. Zaragoza 912, Col. Comercial C.P. 83449",Directorio OIM
El Santuario,Albergue / Comedor,20.0858249,-104.11051184360814,"(20.0858249, -104.11051184360814)",OSC / ONG,Capilla de Macuspana (Estación de tren),Directorio OIM
La 72,Albergue / Comedor,17.4595909,-91.4381969,"(17.4595909, -91.4381969)",OSC / ONG,"Prol. de la calle 20 s/n, Col. Estación Nueva, C.P. 86901",Directorio OIM
y San Francisco de Asis A.C.,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Av. Golfo de México 49, Col. Ampliación Solidaridad, C.P. 87456",Directorio OIM
Nazareth,Albergue / Comedor,48.4360594,-123.3751687,"(48.4360594, -123.3751687)",OSC / ONG,"Maderos 350, Col. Victoria C.P. 88030",Directorio OIM
Senda de Vida,Albergue / Comedor,19.5504175,-99.0757521,"(19.5504175, -99.0757521)",OSC / ONG,"Bordo de Protección 5, Col. 21 de Marzo",Directorio OIM
Emaus,Albergue / Comedor,,,"(nan, nan)",OSC / ONG,"Díaz Mirón 607, entre Gochicoa y Alarcón, Col. Casjal C.P. 89280",Directorio OIM
"Nuestra Señora de Guadalupe, A.C.",Albergue / Comedor,20.4463728,-97.3258503,"(20.4463728, -97.3258503)",OSC / ONG,"María J. González 501, Col. Aquiles Serdán C.P. 88540",Directorio OIM
Amar,Albergue / Comedor,41.816769199999996,8.907295681331181,"(41.816769199999996, 8.907295681331181)",OSC / ONG,"Canales 2112, Sector Centro C.P. 88160",Directorio OIM
"Nuestra Señora de Guadalupe, A.C.",Albergue / Comedor,20.4463728,-97.3258503,"(20.4463728, -97.3258503)",OSC / ONG,"María J. González 501, Col. Aquiles Serdán C.P. 88540",Directorio OIM
Amar,Albergue / Comedor,41.816769199999996,8.907295681331181,"(41.816769199999996, 8.907295681331181)",OSC / ONG,"Canales 2112, Sector Centro C.P. 88160",Directorio OIM
La Sagrada Familia,Albergue / Comedor,19.3552466,-99.2476459,"(19.3552466, -99.2476459)",OSC / ONG,"3ra Priv. de Álvaro Obregón s/n, Col. Ferrocarrilera C.P. 90342",Directorio OIM
Mons. Guillermo Ranzahuer,Albergue / Comedor,17.9327562,-94.9017008,"(17.9327562, -94.9017008)",OSC / ONG,Calle Ignacio Allende 926 Barrio Cuarto C.P.96160,Directorio OIM
Las Patronas,Albergue / Comedor,27.7733191,-101.0188808,"(27.7733191, -101.0188808)",OSC / ONG,"Calle 14 s/n, Col. Guadalupe C.P. 94940",Directorio OIM
"Diócesis de Coatzacoalcos, A.R.",Albergue / Comedor,18.140964949999997,-94.4890599649316,"(18.140964949999997, -94.4890599649316)",OSC / ONG,"Río Pánuco s/n, entre Río Tuxpan y Río Calzadas, Col. Coatzacoalcos, C.P. 96499",Directorio OIM
Decanal Guadalupano,Albergue / Comedor,4.1529761,-73.6333815,"(4.1529761, -73.6333815)",OSC / ONG,"Aldama 50, Col. El Viejo C.P. 95180",Directorio OIM
