ciudad,estado,detenciones
"Heroica Ciudad de Huajuapan de Leon, Oaxaca",Oaxaca, 46
"Juchitan de Zaragoza, Oaxaca",Oaxaca,2 625
"Matias Romero Avendano, Oaxaca",Oaxaca, 157
"Miahuatlan de Porfirio Diaz, Oaxaca",Oaxaca, 13
"Oaxaca de Juarez, Oaxaca",Oaxaca,1 270
"Salina Cruz, Oaxaca",Oaxaca, 112
"San Agustin de las Juntas, Oaxaca",Oaxaca, 2
"San Andres Huaxpaltepec, Oaxaca",Oaxaca, 31
"San Antonio de la Cal, Oaxaca",Oaxaca, 1
"San Bartolo Coyotepec, Oaxaca",Oaxaca, 5
"San Bartolo Soyaltepec, Oaxaca",Oaxaca, 36
"San Cristobal Suchixtlahuaca, Oaxaca",Oaxaca, 4
"San Dionisio Ocotepec, Oaxaca",Oaxaca, 7
"San Francisco Telixtlahuaca, Oaxaca",Oaxaca, 49
"San Jacinto Amilpas, Oaxaca",Oaxaca, 45
"San Jose Tenango, Oaxaca",Oaxaca, 6
"San Juan Bautista Tuxtepec, Oaxaca",Oaxaca, 108
"San Lorenzo Cacaotepec, Oaxaca",Oaxaca, 2
"San Miguel Tequixtepec, Oaxaca",Oaxaca, 109
"San Pablo Etla, Oaxaca",Oaxaca, 35
"San Pablo Huitzo, Oaxaca",Oaxaca, 729
"San Pedro Ixtlahuaca, Oaxaca",Oaxaca, 1
"San Pedro Mixtepec -Dto. 22 -, Oaxaca",Oaxaca, 3
"San Pedro Pochutla, Oaxaca",Oaxaca, 36
"San Pedro Tapanatepec, Oaxaca",Oaxaca, 283
"San Pedro Totolapam, Oaxaca",Oaxaca, 20
"San Sebastian Tutla, Oaxaca",Oaxaca, 3
"Santa Cruz Xoxocotlan, Oaxaca",Oaxaca, 731
"Santa Lucia del Camino, Oaxaca",Oaxaca, 6
"Santa Maria Atzompa, Oaxaca",Oaxaca, 4
"Santa Maria Coyotepec, Oaxaca",Oaxaca, 10
