ID_Poligono,geometry
PG217,"POLYGON ((-112 10, -111 10, -111 9, -112 9, -112 10))"
PG218,"POLYGON ((-112 11, -111 11, -111 10, -112 10, -112 11))"
PG219,"POLYGON ((-112 12, -111 12, -111 11, -112 11, -112 12))"
PG220,"POLYGON ((-112 13, -111 13, -111 12, -112 12, -112 13))"
PG221,"POLYGON ((-112 14, -111 14, -111 13, -112 13, -112 14))"
PG222,"POLYGON ((-112 15, -111 15, -111 14, -112 14, -112 15))"
PG223,"POLYGON ((-112 16, -111 16, -111 15, -112 15, -112 16))"
PG224,"POLYGON ((-112 17, -111 17, -111 16, -112 16, -112 17))"
PG225,"POLYGON ((-112 18, -111 18, -111 17, -112 17, -112 18))"
PG226,"POLYGON ((-112 19, -111 19, -111 18, -112 18, -112 19))"
PG227,"POLYGON ((-112 20, -111 20, -111 19, -112 19, -112 20))"
PG228,"POLYGON ((-112 21, -111 21, -111 20, -112 20, -112 21))"
PG229,"POLYGON ((-112 22, -111 22, -111 21, -112 21, -112 22))"
PG230,"POLYGON ((-112 23, -111 23, -111 22, -112 22, -112 23))"
PG231,"POLYGON ((-112 24, -111 24, -111 23, -112 23, -112 24))"
PG232,"POLYGON ((-112 25, -111 25, -111 24, -112 24, -112 25))"
PG233,"POLYGON ((-112 26, -111 26, -111 25, -112 25, -112 26))"
PG234,"POLYGON ((-112 27, -111 27, -111 26, -112 26, -112 27))"
PG235,"POLYGON ((-112 28, -111 28, -111 27, -112 27, -112 28))"
PG236,"POLYGON ((-112 29, -111 29, -111 28, -112 28, -112 29))"
PG237,"POLYGON ((-112 30, -111 30, -111 29, -112 29, -112 30))"
PG238,"POLYGON ((-112 31, -111 31, -111 30, -112 30, -112 31))"
PG239,"POLYGON ((-112 32, -111 32, -111 31, -112 31, -112 32))"
PG240,"POLYGON ((-112 33, -111 33, -111 32, -112 32, -112 33))"
PG241,"POLYGON ((-112 34, -111 34, -111 33, -112 33, -112 34))"
