ciudad,estado,ruta,detenciones,latitud,longitud
"Xalatlaco, Estado de Mexico",Estado de Mexico,Ruta Centro, 2,19.1843821,-99.4145622
"Zumpango, Estado de Mexico",Estado de Mexico,Ruta Centro, 155,19.81293675,-99.08180953352705
"Guanajuato, Guanajuato",Guanajuato,Ruta Centro, 199,20.9876996,-101.0
"Apaseo el Alto, Guanajuato",Guanajuato,Ruta Centro, 1,20.4562767,-100.621263
"Apaseo el Grande, Guanajuato",Guanajuato,Ruta Centro, 22,20.591932649999997,-100.59798678636592
"Celaya, Guanajuato",Guanajuato,Ruta Centro, 8,20.521788,-100.8140458
"Comonfort, Guanajuato",Guanajuato,Ruta Centro, 29,20.7199475,-100.761188
"Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato",Guanajuato,Ruta Centro, 6,21.1043597,-100.7259581
"Irapuato, Guanajuato",Guanajuato,Ruta Centro, 44,20.6758761,-101.3521052
"Leon, Guanajuato",Guanajuato,Ruta Centro, 2,21.1218598,-101.6825081
"Ocampo, Guanajuato",Guanajuato,Ruta Centro, 6,21.6042823,-101.47623930019085
"Salamanca, Guanajuato",Guanajuato,Ruta Centro, 6,20.571358,-101.192444
"San Luis de la Paz, Guanajuato",Guanajuato,Ruta Centro, 60,21.2970466,-100.516269
"San Miguel de Allende, Guanajuato",Guanajuato,Ruta Centro, 15,20.9142238,-100.743784
"Guerrero, Guerrero",Guerrero,Ruta del Pacifico,1 478,17.666667,-100.0
"Acapulco de Juarez, Guerrero",Guerrero,Ruta del Pacifico, 32,16.8680495,-99.8940182
"Azoyu, Guerrero",Guerrero,Ruta del Pacifico,1 023,16.730833,-98.600833
"Chilpancingo de los Bravo, Guerrero",Guerrero,Ruta del Pacifico, 30,17.5542149,-99.5048416
"San Marcos, Guerrero",Guerrero,Ruta del Pacifico, 379,16.85734375,-99.39034185147702
"Zihuatanejo de Azueta, Guerrero",Guerrero,Ruta del Pacifico, 14,17.80789995,-101.49695243500551
"Hidalgo, Hidalgo",Hidalgo,Ruta Centro,1 049,26.3530256,-98.216445
"Actopan, Hidalgo",Hidalgo,Ruta Centro, 2,20.2687373,-98.9431476
"Alfajayucan, Hidalgo",Hidalgo,Ruta Centro, 1,20.410277,-99.40315343558592
"Apan, Hidalgo",Hidalgo,Ruta Centro, 4,19.7098559,-98.4502318
"Atitalaquia, Hidalgo",Hidalgo,Ruta Centro, 2,20.0597395,-99.21328819731298
"Chapulhuacan, Hidalgo",Hidalgo,Ruta Centro, 18,21.126319199999998,-98.95211915598165
"Emiliano Zapata, Hidalgo",Hidalgo,Ruta Centro, 1,19.6546865,-98.544552
"Epazoyucan, Hidalgo",Hidalgo,Ruta Centro, 1,20.0181268,-98.6364294
"Huasca de Ocampo, Hidalgo",Hidalgo,Ruta Centro, 1,20.223154899999997,-98.5552467331717
"Ixmiquilpan, Hidalgo",Hidalgo,Ruta Centro, 1,20.481944,-99.218056
"Mineral de la Reforma, Hidalgo",Hidalgo,Ruta Centro, 22,20.06063885,-98.73057242363191
"Pachuca de Soto, Hidalgo",Hidalgo,Ruta Centro, 44,20.1165413,-98.7413535
"Tepeapulco, Hidalgo",Hidalgo,Ruta Centro, 35,19.7875962,-98.5522855
"Tepeji del Rio de Ocampo, Hidalgo",Hidalgo,Ruta Centro, 789,19.893682650000002,-99.34871815266254
"Tizayuca, Hidalgo",Hidalgo,Ruta Centro, 14,19.841245,-98.9815648
"Tolcayuca, Hidalgo",Hidalgo,Ruta Centro, 3,19.956667,-98.920278
"Tula de Allende, Hidalgo",Hidalgo,Ruta Centro, 78,20.048948699999997,-99.37295616011426
"Tulancingo de Bravo, Hidalgo",Hidalgo,Ruta Centro, 19,20.0792094,-98.3475328
"Villa de Tezontepec, Hidalgo",Hidalgo,Ruta Centro, 14,19.9143587,-98.80032767789963
"Jalisco, Jalisco",Jalisco,Ruta del Pacifico,1 437,20.3333331,-103.6666671
"El Salto, Jalisco",Jalisco,Ruta del Pacifico, 1,20.5196964,-103.1813141
"Guadalajara, Jalisco",Jalisco,Ruta del Pacifico,1 332,20.6720375,-103.338396
"Tlajomulco de Zuniga, Jalisco",Jalisco,Ruta del Pacifico, 103,20.48187375,-103.40050966382874
"Zapotlan el Grande, Jalisco",Jalisco,Ruta del Pacifico, 1,19.697346500000002,-103.51064802186409
"Michoacan, Michoacan",Michoacan,Ruta del Pacifico, 318,19.207098,-101.878113
"Apatzingan, Michoacan",Michoacan,Ruta del Pacifico, 1,19.0913792,-102.3537356
"Buenavista, Michoacan",Michoacan,Ruta del Pacifico, 1,19.21451245,-102.55515798507565
"Cuitzeo, Michoacan",Michoacan,Ruta del Pacifico, 1,19.9693141,-101.1412203
"Lazaro Cardenas, Michoacan",Michoacan,Ruta del Pacifico, 1,17.9594769,-102.198659
"Morelia, Michoacan",Michoacan,Ruta del Pacifico, 137,19.7027116,-101.1923818
"Uruapan, Michoacan",Michoacan,Ruta del Pacifico, 1,19.4147269,-102.0522647
"Zinapecuaro, Michoacan",Michoacan,Ruta del Pacifico, 176,19.856318100000003,-100.77090971298779
"Morelos, Morelos",Morelos,Ruta Centro, 46,18.75,-99.0
"Cuernavaca, Morelos",Morelos,Ruta Centro, 21,18.9218274,-99.2342282
"Emiliano Zapata, Morelos",Morelos,Ruta Centro, 4,18.83995,-99.1870274
"Jantetelco, Morelos",Morelos,Ruta Centro, 3,18.7167516,-98.7766172
"Puente de Ixtla, Morelos",Morelos,Ruta Centro, 8,18.6171111,-99.3192092
"Temixco, Morelos",Morelos,Ruta Centro, 7,18.8449428,-99.2236369
"Tepoztlan, Morelos",Morelos,Ruta Centro, 1,18.991495899999997,-99.10254532724873
"Xochitepec, Morelos",Morelos,Ruta Centro, 2,18.7831747,-99.2308448
"Nayarit, Nayarit",Nayarit,Ruta del Pacifico, 221,22.0000001,-105.0000001
"Bahia de Banderas, Nayarit",Nayarit,Ruta del Pacifico, 2,20.8290434,-105.31750873696538
"Tepic, Nayarit",Nayarit,Ruta del Pacifico, 219,21.5119156,-104.8915889
"Nuevo Leon, Nuevo Leon",Nuevo Leon,Ruta del Golfo,17 018,26.2384363,-99.8873
"Anahuac, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 86,27.0285283,-100.0333715
"Apodaca, Nuevo Leon",Nuevo Leon,Ruta del Golfo,4 262,25.7816542,-100.1887501
"Aramberri, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 4,24.221725550000002,-99.92413452069506
"Cadereyta Jimenez, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 83,25.517336999999998,-99.87117351720661
"China, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 146,25.491579899999998,-98.98111150455688
"Cienega de Flores, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 41,25.956169,-100.1662028
"Doctor Arroyo, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 11,23.80420455,-100.22566349807495
"El Carmen, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 35,25.9368419,-100.3613419
"Galeana, Nuevo Leon",Nuevo Leon,Ruta del Golfo,5 407,24.758306,-100.38135131017378
"Garcia, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 17,25.6651753,-100.4018251
"General Bravo, Nuevo Leon",Nuevo Leon,Ruta del Golfo,2 059,25.7932962,-99.1811424
"General Escobedo, Nuevo Leon",Nuevo Leon,Ruta del Golfo,1 204,25.808517,-100.3224334
"General Zuazua, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 35,25.8953873,-100.1078021
"Guadalupe, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 225,25.6751114,-100.2151753
"Hualahuises, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 34,24.8838044,-99.6739794
"Juarez, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 180,25.6467011,-100.0907766
"Linares, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 19,24.8596282,-99.5684539
"Los Ramones, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 7,25.6973768,-99.6250811
"Mina, Nuevo Leon",Nuevo Leon,Ruta del Golfo,2 348,26.0025145,-100.5300485
"Montemorelos, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 1,25.1886604,-99.8293539
"Monterrey, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 449,25.6802019,-100.315258
"Paras, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 13,26.4993853,-99.5229954
"Pesqueria, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 93,25.7851361,-100.0520621
"Salinas Victoria, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 18,26.1216805,-100.3270876995874
"San Nicolas de los Garza, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 50,25.7558021,-100.289648
"San Pedro Garza Garcia, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 1,25.6651753,-100.4018251
"Santa Catarina, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 167,25.6745052,-100.4616371
"Santiago, Nuevo Leon",Nuevo Leon,Ruta del Golfo, 23,25.4243595,-100.1513376
"Oaxaca, Oaxaca",Oaxaca,Ruta Sur,8 834,17.0,-96.5
"Asuncion Nochixtlan, Oaxaca",Oaxaca,Ruta Sur, 13,17.457222,-97.225
"Chahuites, Oaxaca",Oaxaca,Ruta Sur, 54,16.2885299,-94.1942777
"Ciudad Ixtepec, Oaxaca",Oaxaca,Ruta Sur, 10,16.5564139,-95.0959653
"Concepcion Buenavista, Oaxaca",Oaxaca,Ruta Sur, 25,17.8781515,-97.4004708
"El Espinal, Oaxaca",Oaxaca,Ruta Sur, 10,16.4609135,-95.05818330487185
"Heroica Ciudad de Huajuapan de Leon, Oaxaca",Oaxaca,Ruta Sur, 46,17.808846,-97.7780564
"Juchitan de Zaragoza, Oaxaca",Oaxaca,Ruta Sur,2 625,16.413328999999997,-94.9118794582709
"Matias Romero Avendano, Oaxaca",Oaxaca,Ruta Sur, 157,16.8761133,-95.0405586
"Miahuatlan de Porfirio Diaz, Oaxaca",Oaxaca,Ruta Sur, 13,16.3610815,-96.5850578538718
"Oaxaca de Juarez, Oaxaca",Oaxaca,Ruta Sur,1 270,17.0604663,-96.7253575
"Salina Cruz, Oaxaca",Oaxaca,Ruta Sur, 112,16.1825,-95.195833
"San Agustin de las Juntas, Oaxaca",Oaxaca,Ruta Sur, 2,17.005436,-96.7092291
"San Andres Huaxpaltepec, Oaxaca",Oaxaca,Ruta Sur, 31,16.3411829,-97.93462519426677
"San Antonio de la Cal, Oaxaca",Oaxaca,Ruta Sur, 1,17.028333,-96.700556
"San Bartolo Coyotepec, Oaxaca",Oaxaca,Ruta Sur, 5,16.9575983,-96.7066199
"San Bartolo Soyaltepec, Oaxaca",Oaxaca,Ruta Sur, 36,17.57706925,-97.31194366093106
"San Cristobal Suchixtlahuaca, Oaxaca",Oaxaca,Ruta Sur, 4,17.7265261,-97.3666425
"San Dionisio Ocotepec, Oaxaca",Oaxaca,Ruta Sur, 7,16.7975187,-96.3960971
"San Francisco Telixtlahuaca, Oaxaca",Oaxaca,Ruta Sur, 49,17.296628,-96.9056112
"San Jacinto Amilpas, Oaxaca",Oaxaca,Ruta Sur, 45,17.1011376,-96.7606784
"San Jose Tenango, Oaxaca",Oaxaca,Ruta Sur, 6,18.15,-96.716667
"San Juan Bautista Tuxtepec, Oaxaca",Oaxaca,Ruta Sur, 108,18.0874632,-96.1227767
"San Lorenzo Cacaotepec, Oaxaca",Oaxaca,Ruta Sur, 2,17.1278714,-96.8017692
"San Miguel Tequixtepec, Oaxaca",Oaxaca,Ruta Sur, 109,17.801944,-97.340556
"San Pablo Etla, Oaxaca",Oaxaca,Ruta Sur, 35,17.1450449,-96.7644253
"San Pablo Huitzo, Oaxaca",Oaxaca,Ruta Sur, 729,17.2777969,-96.8866692
"San Pedro Ixtlahuaca, Oaxaca",Oaxaca,Ruta Sur, 1,17.063056,-96.818056
"San Pedro Mixtepec -Dto. 22 -, Oaxaca",Oaxaca,Ruta Sur, 3,16.271111,-96.2825
"San Pedro Pochutla, Oaxaca",Oaxaca,Ruta Sur, 36,15.744444,-96.465278
"San Pedro Tapanatepec, Oaxaca",Oaxaca,Ruta Sur, 283,16.3689223,-94.1927528
"San Pedro Totolapam, Oaxaca",Oaxaca,Ruta Sur, 20,15.8659835,-97.0043148
"San Sebastian Tutla, Oaxaca",Oaxaca,Ruta Sur, 3,17.059722,-96.672222
"Santa Cruz Xoxocotlan, Oaxaca",Oaxaca,Ruta Sur, 731,17.026389,-96.733333
"Santa Lucia del Camino, Oaxaca",Oaxaca,Ruta Sur, 6,17.0625,-96.693333
"Santa Maria Atzompa, Oaxaca",Oaxaca,Ruta Sur, 4,17.1011053,-96.7777739
"Santa Maria Coyotepec, Oaxaca",Oaxaca,Ruta Sur, 10,16.9716988,-96.71080424404754
"Santa Maria del Tule, Oaxaca",Oaxaca,Ruta Sur, 1,17.0476822,-96.6334574
"Santa Maria Huatulco, Oaxaca",Oaxaca,Ruta Sur, 170,15.8337711,-96.3214401
"Santa Maria Jalapa del Marques, Oaxaca",Oaxaca,Ruta Sur,1 264,16.4403557,-95.4448148
"Santa Maria Mixtequilla, Oaxaca",Oaxaca,Ruta Sur, 37,16.374444,-95.259722
"Santa Maria Tonameca, Oaxaca",Oaxaca,Ruta Sur, 1,15.745833,-96.547222
"Santiago Juxtlahuaca, Oaxaca",Oaxaca,Ruta Sur, 1,17.334443,-98.010574
"Santiago Niltepec, Oaxaca",Oaxaca,Ruta Sur, 14,16.5614134,-94.6131085
"Santiago Pinotepa Nacional, Oaxaca",Oaxaca,Ruta Sur, 7,16.3406076,-98.0536701
"Santo Domingo Tehuantepec, Oaxaca",Oaxaca,Ruta Sur, 222,16.3172613,-95.2468005
"Santo Domingo Yanhuitlan, Oaxaca",Oaxaca,Ruta Sur, 44,17.5273478,-97.3421502
"Tlacolula de Matamoros, Oaxaca",Oaxaca,Ruta Sur, 351,16.9314623,-96.46110745930906
"Trinidad Zaachila, Oaxaca",Oaxaca,Ruta Sur, 1,16.921389,-96.765
"Villa de Etla, Oaxaca",Oaxaca,Ruta Sur, 2,17.2057678,-96.7981939
"Villa de Tamazulapam del Progreso, Oaxaca",Oaxaca,Ruta Sur, 2,17.6748203,-97.5720083
"Villa de Tututepec, Oaxaca",Oaxaca,Ruta Sur, 37,16.1303062,-97.6080871
"Villa de Zaachila, Oaxaca",Oaxaca,Ruta Sur, 77,16.950833,-96.749167
"Villa Tejupam de la Union, Oaxaca",Oaxaca,Ruta Sur, 2,17.6625,-97.470833
"Puebla, Puebla",Puebla,Ruta Centro,5 069,18.833333,-98.0
"Puebla, Puebla",Puebla,Ruta Centro,5 069,18.833333,-98.0
"Queretaro, Queretaro",Queretaro,Ruta Centro,2 192,20.5927744,-100.3902245
"El Marques, Queretaro",Queretaro,Ruta Centro, 16,20.73507785,-100.28357653504233
"Queretaro, Queretaro",Queretaro,Ruta Centro, 872,20.5927744,-100.3902245
"San Juan del Rio, Queretaro",Queretaro,Ruta Centro,1 304,20.3867547,-99.9931982
"Quintana Roo, Quintana Roo",Quintana Roo,Ruta Sur,2 514,19.6666671,-88.5000001
"Bacalar, Quintana Roo",Quintana Roo,Ruta Sur, 9,18.6782559,-88.3922556
"Benito Juarez, Quintana Roo",Quintana Roo,Ruta Sur,1 897,21.076680850000002,-86.92633521708406
"Cozumel, Quintana Roo",Quintana Roo,Ruta Sur, 24,20.4320599,-86.92069058377268
"Isla Mujeres, Quintana Roo",Quintana Roo,Ruta Sur, 24,21.2371906,-86.7350001
"Othon P. Blanco, Quintana Roo",Quintana Roo,Ruta Sur, 369,18.43704555,-88.82575815803347
"Solidaridad, Quintana Roo",Quintana Roo,Ruta Sur, 178,20.584374699999998,-87.50345268296755
"Tulum, Quintana Roo",Quintana Roo,Ruta Sur, 13,20.1692965,-87.44954812616734
"San Luis Potosi, San Luis Potosi",San Luis Potosi,Ruta Centro,4 159,22.5000001,-100.4949145
"Cedral, San Luis Potosi",San Luis Potosi,Ruta Centro, 5,23.8205361,-100.7242892
"San Luis Potosi, San Luis Potosi",San Luis Potosi,Ruta Centro,4 154,22.5000001,-100.4949145
"Sinaloa, Sinaloa",Sinaloa,Ruta del Pacifico,1 071,25.0000001,-107.5000001
"Ahome, Sinaloa",Sinaloa,Ruta del Pacifico, 4,25.924049099999998,-109.20583440830308
"Angostura, Sinaloa",Sinaloa,Ruta del Pacifico, 79,25.3657471,-108.16152
"Culiacan, Sinaloa",Sinaloa,Ruta del Pacifico, 11,24.7978965,-107.393395
"Guasave, Sinaloa",Sinaloa,Ruta del Pacifico, 1,25.5738,-108.4674697
"Mazatlan, Sinaloa",Sinaloa,Ruta del Pacifico, 976,23.2035785,-106.4208391
"Sonora, Sonora",Sonora,Ruta del Pacifico,31 815,29.3333331,-110.6666671
"Agua Prieta, Sonora",Sonora,Ruta del Pacifico, 35,31.3305591,-109.5564331
"Altar, Sonora",Sonora,Ruta del Pacifico, 30,30.7170323,-111.8380038
"Caborca, Sonora",Sonora,Ruta del Pacifico, 414,30.7166014,-112.1562598
"Cajeme, Sonora",Sonora,Ruta del Pacifico,1 040,27.71198065,-109.9022075359282
"General Plutarco Elias Calles, Sonora",Sonora,Ruta del Pacifico,1 431,31.6949837,-112.71174894524103
"Guaymas, Sonora",Sonora,Ruta del Pacifico, 860,27.9216441,-110.8994059
