"Santiago Juxtlahuaca, Oax.", 1
"Santiago Niltepec, Oax.", 14
"Santiago Pinotepa Nacional, Oax.", 7
"Santo Domingo Tehuantepec, Oax.", 222
"Santo Domingo Yanhuitlán, Oax.", 44
"Tlacolula de Matamoros, Oax.", 351
"Trinidad Zaachila, Oax.", 1
"Villa de Etla, Oax.", 2
"Villa de Tamazulápam del Progreso, Oax.", 2
"Villa de Tututepec, Oax.", 37
"Villa de Zaachila, Oax.", 77
"Villa Tejúpam de la Unión, Oax.", 2
,
Puebla,5 069
"Puebla, Pue.",5 069
,
Querétaro,2 192
"El Marqués, Qro.", 16
"Querétaro, Qro.", 872
"San Juan del Río, Qro.",1 304
,
Quintana Roo,2 514
"Bacalar, Q. Roo", 9
"Benito Juárez, Q. Roo",1 897
"Cozumel, Q. Roo", 24
"Isla Mujeres, Q. Roo", 24
"Othón P. Blanco, Q. Roo", 369
"Solidaridad, Q. Roo", 178
"Tulum, Q. Roo", 13
,
San Luis Potosí,4 159
"Cedral, SLP", 5
"San Luis Potosí, SLP",4 154
,
Sinaloa,1 071
"Ahome, Sin.", 4
"Angostura, Sin.", 79
"Culiacán, Sin.", 11
"Guasave, Sin.", 1
"Mazatlán, Sin.", 976
,
Sonora,31 815
"Agua Prieta, Son.", 35
"Altar, Son.", 30
"Caborca, Son.", 414
"Cajeme, Son.",1 040
"General Plutarco Elías Calles, Son.",1 431
"Guaymas, Son.", 860
"Hermosillo, Son.",9 637
"Huatabampo, Son.",1 045
"Imuris, Son.", 7
"Navojoa, Son.", 823
"Nogales, Son.",4 084
"Puerto Peñasco, Son.", 1
"San Luis Río Colorado, Son.", 67
"Santa Ana, Son.",12 341
,
Tabasco,292 457
"Balancán, Tab.",1 472
"Cárdenas, Tab.",13 100
"Centla, Tab.", 45
"Centro, Tab.",71 661
"Comalcalco, Tab.", 368
"Cunduacán, Tab.", 2
"Emiliano Zapata, Tab.",6 643
"Huimanguillo, Tab.",97 523
"Jalapa, Tab.",7 479
"Macuspana, Tab.",34 779
"Paraíso, Tab.", 2
"Tacotalpa, Tab.",9 367
"Teapa, Tab.",9 947
"Tenosique, Tab.",40 069
,
Tamaulipas,10 810
"Aldama, Tamps.", 14
"Altamira, Tamps.", 833
"Antiguo Morelos, Tamps.", 117
"Cruillas, Tamps.", 985
"El Mante, Tamps.", 6
"González, Tamps.", 8
"Hidalgo, Tamps.", 45
"Jaumave, Tamps.", 501
"Jiménez, Tamps.", 1
"Matamoros, Tamps.", 405
"Miguel Alemán, Tamps.", 16
"Nuevo Laredo, Tamps.", 143
"Reynosa, Tamps.",6 356
"Río Bravo, Tamps.", 58
"San Fernando, Tamps.", 673
"Soto la Marina, Tamps.", 53
"Tampico, Tamps.", 563
"Victoria, Tamps.", 33
,
Tlaxcala,8 029
"Amaxac de Guerrero, Tlax.", 1
"Apetatitlán de Antonio Carvajal, Tlax.", 339
"Apizaco, Tlax.", 134
"Atlangatepec, Tlax.", 83
"Calpulalpan, Tlax.", 25
"Chiautempan, Tlax.", 16
"Cuapiaxtla, Tlax.", 47
"Huamantla, Tlax.", 73
"Hueyotlipan, Tlax.", 14
"Ixtacuixtla de Mariano Matamoros, Tlax.",2 539
"Ixtenco, Tlax.", 242
"Muñoz de Domingo Arenas, Tlax.", 2
"Nanacamilpa de Mariano Arista, Tlax.", 2
"Natívitas, Tlax.", 17
"Papalotla de Xicohténcatl, Tlax.", 2
"San Jerónimo Zacualpan, Tlax.", 4
"San Juan Huactzinco, Tlax.", 1
"San Pablo del Monte, Tlax.", 2
"Sanctórum de Lázaro Cárdenas, Tlax.", 13
"Santa Cruz Quilehtla, Tlax.", 9
"Tetla de la Solidaridad, Tlax.", 2
"Tlaxcala, Tlax.", 33
"Tlaxco, Tlax.", 49
"Tocatlán, Tlax.", 7
"Tzompantepec, Tlax.", 33
"Xaloztoc, Tlax.",4 231
"Yauhquemehcan, Tlax.", 101
"Zacatelco, Tlax.", 8
,
Veracruz,66 453
"Acayucan, Ver.",45 794
"Agua Dulce, Ver.",4 144
"Álamo Temapache, Ver.", 1
"Alvarado, Ver.", 59
"Amatlán de los Reyes, Ver.", 17
"Angel R. Cabada, Ver.", 17
"Camerino Z. Mendoza, Ver.", 126
"Carlos A. Carrillo, Ver.", 1
"Carrillo Puerto, Ver.", 55
"Coatepec, Ver.", 1
"Coatzacoalcos, Ver.", 297
"Córdoba, Ver.", 609
