name,ciudad,estado,tipo,subtipo,latitud,longitud,ID_Poligono,direccion
"Fundacion Dar y Amar Daya, I.A.P.","Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3650389,-99.2919906,PG551,"Calle Puebla 77, Col. Cuajimalpa Del. Cuajimalpa, Ciudad de Mexico."
Santa Martha,"Texcoco, Estado de Mexico",Estado de Mexico,OSC / ONG,Centros de Asistencia Social,19.35994841,-98.99528662,PG578,Capilla Santa Marta (Estacion de tren)
"Instituto de Estudios y Divulgacion sobre Migracion, AC (INEDIM) ","Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3576908,-99.1226831,PG551,"Calle Mexicali 4 Hipodromo 06100,de Mexico, CDMX Ciudad Ciudad de Mexico, Ciudad de Mexico"
La Sagrada Familia,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3552466,-99.2476459,PG551,"3ra Priv. de Alvaro Obregon s/n, Col. Ferrocarrilera C.P. 90342"
"Centro Nacional Modelo de Atencion, Investigacion y Capacitacion Casa Cuna Tlalpan","Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3532236,-99.1450381,PG551,"Calz. De Tlalpan 1677, Col. del San Diego Churubusco, Tlalpan, Ciudad de Mexico. C.P. 04120"
Centro Constitucion de 1917 Alcoholismo y Drogadiccion A.C.,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.351435,-99.0639852,PG551,"Av. Luis Manuel Rojas Ndeg 19, Constitucion de 1917, Iztapalapa, 09260 Ciudad de Mexico, CDMX"
Albergue Balsamo de Amor A.C.,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3513347,-99.0634657,PG551,"Amilcar Vidal 93, Constitucion de 1917, Iztapalapa, 09260 Ciudad de Mexico, CDMX"
"Centro Nacional Modelo de Atencion, Investigacion y Capacitacion Casa Cuna Coyoacan","Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3509824,-99.1580661,PG551,"Moctezuma 46, Col. Del Carmen Coyoacan, Ciudad de Mexico. C.P. 04100"
Centro Amanecer para Ninos,"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.3487782,-99.1726868,PG551,"Callejon del Rio 33, Col. Barrio Santa Catarina, Coyoacan, Ciudad de Mexico. C.P. 04010"
"Fundacion Casa Alianza Mexico, I.A.P.","Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,OSC / ONG,Centros de Asistencia Social,19.340689,-99.1385495,PG551,"Cerro Churitzio 118, Col. Campestre Churubusco, Del. Coyoacan, Ciudad de Mexico."
