Arc,From_Node,To_Node,origen_xy,destino_xy
PG1185-PG1146,PG1185,PG1146,"19.34670365, -98.3781581037396","19.3591195, -99.0929294"
PG1146-PG1147,PG1146,PG1147,"19.3591195, -99.0929294","19.9807399, -99.1518101102043"
PG1147-PG1108,PG1147,PG1108,"19.9807399, -99.1518101102043","20.3867547, -99.9931982"
PG1108-PG1109,PG1108,PG1109,"20.3867547, -99.9931982","20.5927744, -100.3902245"
PG1109-PG1070,PG1109,PG1070,"20.5927744, -100.3902245","20.7199475, -100.761188"
PG1572-PG1533,PG1572,PG1533,"17.4707129, -91.4220212","17.4348976, -92.2248024988609"
PG1533-PG1494,PG1533,PG1494,"17.4348976, -92.2248024988609","17.5566526, -92.9480504"
PG1494-PG1417,PG1494,PG1417,"17.5566526, -92.9480504","18.0899541, -94.1623630522383"
PG1417-PG1378,PG1417,PG1378,"18.0899541, -94.1623630522383","17.9487862, -94.9145752"
PG1378-PG1339,PG1378,PG1339,"17.9487862, -94.9145752","18.28167395, -95.9643574726842"
PG1339-PG1300,PG1339,PG1300,"18.28167395, -95.9643574726842","18.15, -96.716667"
PG1300-PG1262,PG1300,PG1262,"18.15, -96.716667","18.8497366, -97.1060062"
PG1262-PG1223,PG1262,PG1223,"18.8497366, -97.1060062","19.0384062279769, -98.2069491554557"
PG1031-PG1032,PG1031,PG1032,"20.6758761, -101.3521052","21.6042823, -101.476239300191"
PG1032-PG994,PG1032,PG994,"21.6042823, -101.476239300191","22.3705155, -102.312008510523"
PG1032-PG1072,PG1032,PG1072,"21.6042823, -101.476239300191","22.5000001, -100.4949145"
PG1299-PG1300,PG1299,PG1300,"17.0604663, -96.7253575","18.15, -96.716667"
PG1300-PG1301,PG1300,PG1301,"18.15, -96.716667","18.814226, -96.7223775"
PG1301-PG1262,PG1301,PG1262,"18.814226, -96.7223775","18.8497366, -97.1060062"
PG1185-PG1186,PG1185,PG1186,"19.34670365, -98.3781581037396","20.1165413, -98.7413535"
PG1186-PG1187,PG1186,PG1187,"20.1165413, -98.7413535","21.1263192, -98.9521191559816"
PG1187-PG1150,PG1187,PG1150,"21.1263192, -98.9521191559816","22.56570125, -99.0871371606598"
PG1150-PG1152,PG1150,PG1152,"22.56570125, -99.0871371606598","23.40496, -99.3806698"
PG1152-PG1153,PG1152,PG1153,"23.40496, -99.3806698","24.2480354, -99.4382079"
PG1153-PG1154,PG1153,PG1154,"24.2480354, -99.4382079","24.8838044, -99.6739794"
PG1154-PG1115,PG1154,PG1115,"24.8838044, -99.6739794","24.8455905995639, -100.089346003726"
PG1115-PG1116,PG1115,PG1116,"24.8455905995639, -100.089346003726","25.7816542, -100.1887501"
PG1116-PG1117,PG1116,PG1117,"25.7816542, -100.1887501","26.1216805, -100.327087699587"
PG1117-PG1118,PG1117,PG1118,"26.1216805, -100.327087699587","27.0285283, -100.0333715"
