nommun,estado,region,id_poligon,codigo_uni,eventos,inm_30km,inm_in_gri,inm_in_est,eventos_ed,eventos_gr,sc_30km,promedio_s,sc_estado,geometry,distancia_metros,distancia_km,max_vul2r1_normalized,max_vul2r2_normalized,max_vul2r3_normalized,max_vul2r4_normalized,inm_30km_adjusted,log_eventos_per_inm_30km,norm_log_eventos_per_inm_30km,latitud
"San Jeronimo Zacualpan, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-1,4,2,1,0,7686,5071,45,17.90909091,8,POINT (-98.261389 19.240833),880578,880.578,,,,,3,0.84729786,0.050496112,19.240833
"Aramberri, Nuevo Leon",Nuevo Leon,Golfo,PG1114,G-PG1114-1,4,0,0,0,16985,4,0,0,104,POINT (-99.9241345206951 24.22172555),1610328,1610.328,0.00106584,0.000892467,0.001087643,0.013145839,1,1.609437912,0.119266704,24.22172555
"Emiliano Zapata, Morelos",Morelos,Centro,PG1145,C-PG1145-5,4,0,0,0,45,42,9,7.833333333,9,POINT (-99.1870274 18.83995),1250138,1250.138,,,,,1,1.609437912,0.119266704,18.83995
"Santa Maria Atzompa, Oaxaca",Oaxaca,Sur,PG1299,S-PG1299-5,4,1,1,4,8835,2797,8,7.785714286,16,POINT (-96.7777739 17.1011053),712776,712.776,,,,,2,1.098612289,0.073173101,17.1011053
"San Cristobal Suchixtlahuaca, Oaxaca",Oaxaca,Sur,PG1261,S-PG1261-2,4,0,0,4,8835,29,0,0,16,POINT (-97.3666425 17.7265261),820446,820.446,,,,,1,1.609437912,0.119266704,17.7265261
"Paraiso, Tabasco",Tabasco,Sur,PG1495,G-PG1495-3,4,0,1,3,290299,105212,0,2.833333333,43,POINT (-93.2125326 18.3987331),295475,295.475,,,,,1,1.609437912,0.119266704,18.3987331
"Valladolid, Yucatan",Yucatan,Sur,PG1772,S-PG1772-1,5,0,0,1,938,5,1,1,9,POINT (-88.2016999 20.6902505),301516,301.516,0.221461313,0.214662582,0.252501037,0.387084846,1,1.791759469,0.135718223,20.6902505
"San Bartolo Coyotepec, Oaxaca",Oaxaca,Sur,PG1298,S-PG1298-4,5,1,0,4,8835,463,8,4.857142857,16,POINT (-96.7066199 16.9575983),704897,704.897,,,,,2,1.252762968,0.087082662,16.9575983
"Cedral, San Luis Potosi",San Luis Potosi,Centro,PG1074,C-PG1074-1,5,0,0,1,4072,5,1,1,16,POINT (-100.7242892 23.8205361),1580964,1580.964,0.235878073,0.16586591,0.245987502,0.244716596,1,1.791759469,0.135718223,23.8205361
"Apan, Hidalgo",Hidalgo,Centro,PG1185,C-PG1185-11,5,0,0,1,1046,3233,1,12.92857143,6,POINT (-98.4502318 19.7098559),946108,946.108,,,,,1,1.791759469,0.135718223,19.7098559
"San Felipe, Baja California",Baja California,Pacifico,PG305,P-PG305-1,5,0,0,2,33879,5,0,0,66,POINT (-114.839607 31.0269529),3674555,3674.555,,,,,1,1.791759469,0.135718223,31.0269529
"Santa Lucia del Camino, Oaxaca",Oaxaca,Sur,PG1299,S-PG1299-12,6,1,1,4,8835,2797,8,7.785714286,16,POINT (-96.693333 17.0625),700156,700.156,,,,,2,1.386294361,0.099131672,17.0625
"Ocampo, Guanajuato",Guanajuato,Centro,PG1032,C-PG1032-1,6,0,0,0,199,6,0,0,13,POINT (-101.476239300191 21.6042823),1388287,1388.287,0.050657393,0.021311097,0.033276488,0.102009683,1,1.945910149,0.149627784,21.6042823
"Nogales, Veracruz",Veracruz,Golfo,PG1262,G-PG1262-1,6,0,0,3,66430,1947,2,2,54,POINT (-97.1627659 18.8226013),715755,715.755,,,,,1,1.945910149,0.149627784,18.8226013
"El Mante, Tamaulipas",Tamaulipas,Golfo,PG1190,G-PG1190-1,6,0,0,3,10385,14,1,0.5,46,POINT (-98.9353414059303 22.60787365),1294533,1294.533,,,,,1,1.945910149,0.149627784,22.60787365
"Tezonapa, Veracruz",Veracruz,Golfo,PG1301,G-PG1301-3,6,0,0,3,66430,1747,0,0.75,54,POINT (-96.782341148248 18.5587309),693419,693.419,,,,,1,1.945910149,0.149627784,18.5587309
"Colima, Colima",Colima,Pacifico,PG912,P-PG912-2,6,0,0,0,18,9,6,4.333333333,8,POINT (-103.725030676615 19.2448781553705),1905670,1905.67,0.144232618,0.062411391,0.064711515,0.286060218,1,1.945910149,0.149627784,19.24487816
"Salamanca, Guanajuato",Guanajuato,Centro,PG1031,C-PG1031-3,6,0,0,0,199,52,3,2.666666667,13,POINT (-101.192444 20.571358),1266055,1266.055,,,,,1,1.945910149,0.149627784,20.571358
"Imuris, Sonora",Sonora,Pacifico,PG538,P-PG538-1,7,0,0,2,31997,7,0,0,28,POINT (-110.8463861 30.7874899),3082770,3082.77,0.227666457,0.187598957,0.229359664,0.229689677,1,2.079441542,0.161676793,30.7874899
"Copainala, Chiapas",Chiapas,Sur,PG1494,S-PG1494-1,7,0,0,13,223058,18974,0,0.25,117,POINT (-93.2102105 17.0930214),350838,350.838,,,,,1,2.079441542,0.161676793,17.0930214
"Los Ramones, Nuevo Leon",Nuevo Leon,Golfo,PG1155,G-PG1155-1,7,0,0,0,16985,2063,0,0.5,104,POINT (-99.6250811 25.6973768),1656797,1656.797,,,,,1,2.079441542,0.161676793,25.6973768
"Temixco, Morelos",Morelos,Centro,PG1145,C-PG1145-4,7,0,0,0,45,42,9,7.833333333,9,POINT (-99.2236369 18.8449428),1249064,1249.064,,,,,1,2.079441542,0.161676793,18.8449428
"Texistepec, Veracruz",Veracruz,Golfo,PG1378,G-PG1378-5,7,1,1,3,66430,45773,25,15,54,POINT (-94.816389 17.894167),437679,437.679,,,,,2,1.504077397,0.109759652,17.894167
"San Dionisio Ocotepec, Oaxaca",Oaxaca,Sur,PG1298,S-PG1298-7,7,0,0,4,8835,463,0,4.857142857,16,POINT (-96.3960971 16.7975187),649690,649.69,,,,,1,2.079441542,0.161676793,16.7975187
"Santiago Pinotepa Nacional, Oaxaca",Oaxaca,Sur,PG1220,S-PG1220-1,7,0,0,4,8835,38,0,0,16,POINT (-98.0536701 16.3406076),861180,861.18,,,,,1,2.079441542,0.161676793,16.3406076
"Gonzalez, Tamaulipas",Tamaulipas,Golfo,PG1190,G-PG1190-2,8,0,0,3,10385,14,0,0.5,46,POINT (-98.5763189554293 22.79038735),1247820,1247.82,0.394368023,0.340047198,0.372232623,0.345359893,1,2.197224577,0.172304773,22.79038735
"Motozintla, Chiapas",Chiapas,Sur,PG1530,S-PG1530-6,8,2,4,13,223058,113641,3,22.33333333,117,POINT (-92.3488036187158 15.3050827),35928,35.928,,,,,3,1.299282984,0.091280328,15.3050827
"Celaya, Guanajuato",Guanajuato,Centro,PG1070,C-PG1070-1,8,0,0,0,199,75,3,9,13,POINT (-100.8140458 20.521788),1221119,1221.119,,,,,1,2.197224577,0.172304773,20.521788
"Zacatelco, Tlaxcala",Tlaxcala,Centro,PG1224,C-PG1224-3,8,2,1,0,7686,5071,45,17.90909091,8,POINT (-98.239722 19.215833),871546,871.546,,,,,3,1.299282984,0.091280328,19.215833
"Puente de Ixtla, Morelos",Morelos,Centro,PG1145,C-PG1145-1,8,0,0,0,45,42,4,7.833333333,9,POINT (-99.3192092 18.6171111),1229625,1229.625,,,,,1,2.197224577,0.172304773,18.6171111
"Panuco, Veracruz",Veracruz,Golfo,PG1228,G-PG1228-1,8,0,1,3,66430,1412,1,4,54,POINT (-98.232957921869 22.08052495),1170507,1170.507,,,,,1,2.197224577,0.172304773,22.08052495
