,arc,nommun,cvemun,region,dist_ori,dist_des,inm_30km,sc_30km,dis_tot,geometry,eventos,area,R1,R2,R3,R4,tipo_nodo,vul2r1,vul2r1_normalized
548,PG1222-PG1184,"San Jeronimo Xayacatlan, Puebla",21127.0,Desconocido,61.82,146.052,1,1,190.4467143,POINT (-97.9187363773994 18.197427255136134),,137.6338814,0.010346275,0.01,0.010123704,0.48554388,intersectante,,
549,PG1222-PG1184,"Tehuitzingo, Puebla",21157.0,Desconocido,104.245,81.471,1,1,190.4467143,POINT (-98.30333419423783 18.352626404241327),,488.6949262,0.011038825,0.012071614,0.011298888,0.494377194,intersectante,,
550,PG1222-PG1184,"Tepexco, Puebla",21168.0,Desconocido,167.128,18.671,1,1,190.4467143,POINT (-98.65249512760998 18.64539579980799),,117.7471185,0.010346275,0.01,0.01,0.475931083,intersectante,,
551,PG1222-PG1184,"Tilapa, Puebla",21176.0,Desconocido,153.619,32.962,1,1,190.4467143,POINT (-98.54085095683696 18.614237387644046),,84.06699099,0.0113851,0.010345269,0.01,0.48276661,intersectante,,
552,PG1222-PG1184,"Jantetelco, Morelos",17010.0,Centro,185.799,0.0,1,1,190.4467143,POINT (-98.7766172 18.716751599999995),3.0,88.56113331,0.013116474,0.01,0.010927777,0.47717776,destino,3.15827437781361,0.06546342171816057
553,PG1184-PG1145,"Jantetelco, Morelos",17010.0,Centro,0.0,63.335,1,1,68.719,POINT (-98.7766172 18.716751599999995),3.0,88.56113331,0.013116474,0.01,0.010927777,0.47717776,origen,1656.6018002562666,0.3405295217302267
554,PG1184-PG1145,"Ayala, Morelos",17004.0,Desconocido,33.419,43.31,1,2,68.719,POINT (-98.9778255490101 18.71520188493889),,372.4590502,0.021773347,0.018159979,0.01377296,0.481321874,intersectante,,
555,PG1184-PG1145,"Cuautla, Morelos",17006.0,Desconocido,24.715,38.978,1,3,68.719,POINT (-98.9556591677576 18.83203667394729),,98.51048172,0.100377754,0.01407999,0.030163689,0.35022747,intersectante,,
556,PG1184-PG1145,"Jiutepec, Morelos",17011.0,Desconocido,55.045,9.977,1,8,68.719,POINT (-99.16517765669902 18.88432953696709),,52.86147192,0.040125918,0.01,0.01649444,0.159268396,intersectante,,
557,PG1184-PG1145,"Jonacatepec de Leandro Valle, Morelos",17013.0,Desconocido,7.314,66.502,1,1,68.719,POINT (-98.81175365010313 18.672987893686624),,106.0015433,0.012770199,0.01,0.010865925,0.46353047,intersectante,,
558,PG1184-PG1145,"Yautepec, Morelos",17029.0,Desconocido,40.178,24.157,1,8,68.719,POINT (-99.04859351599944 18.87303425297812),,183.6544106,0.03389297,0.010345269,0.018164438,0.403135125,intersectante,,
559,PG1184-PG1145,"Cuernavaca, Morelos",17007.0,Centro,63.346,0.0,1,7,68.719,POINT (-99.23422819999999 18.92182739999999),19.0,200.0802646,0.147817419,0.017407952,0.031648132,0.3088448,destino,37.369269706561205,0.16754044638036214
560,PG1145-PG1146,"Cuernavaca, Morelos",17007.0,Centro,0.0,61.043,1,7,66.17075,POINT (-99.23422819999999 18.92182739999999),19.0,200.0802646,0.147817419,0.017407952,0.031648132,0.3088448,origen,1.7284987357104995,0.04610834443361521
561,PG1145-PG1146,"Coyoacan, Ciudad de Mexico",9003.0,Desconocido,57.328,9.391,1,133,66.17075,POINT (-99.14994164024749 19.32600506005852),1.0,53.66996587,0.249622246,0.097652743,0.028308134,0.212230216,intersectante,,
562,PG1145-PG1146,"Tlalpan, Ciudad de Mexico",9012.0,Desconocido,45.472,26.682,1,123,66.17075,POINT (-99.20664348096402 19.19704766053651),,308.2859667,0.278016789,0.066497635,0.028369986,0.563785539,intersectante,,
563,PG1145-PG1146,"Xochimilco, Ciudad de Mexico",9013.0,Desconocido,48.424,15.469,1,130,66.17075,POINT (-99.09203440639189 19.243681623248502),,118.618725,0.175865687,0.071457877,0.024287767,0.4344936,intersectante,,
564,PG1145-PG1146,"Huitzilac, Morelos",17009.0,Desconocido,18.727,43.19,1,12,66.17075,POINT (-99.2370415507423 19.05756704086089),,190.5759593,0.016232949,0.01,0.011917406,0.488655058,intersectante,,
565,PG1145-PG1146,"Iztapalapa, Ciudad de Mexico",9007.0,Centro,61.071,0.0,1,134,66.17075,POINT (-99.09292939999999 19.3591195),6091.0,113.1065399,0.75795383,0.484477828,0.104633263,0.212230216,destino,5584.852486466642,0.39633558852943573
566,PG1146-PG1108,"Iztapalapa, Ciudad de Mexico",9007.0,Centro,0.0,181.278,1,134,184.5789333,POINT (-99.09292939999999 19.3591195),6091.0,113.1065399,0.75795383,0.484477828,0.104633263,0.212230216,origen,0.033493710354939095,0.001513360525398877
567,PG1146-PG1108,"Azcapotzalco, Ciudad de Mexico",9002.0,Desconocido,20.073,161.631,1,132,184.5789333,POINT (-99.18176885691406 19.484641537432456),,33.42078119,0.191448059,0.088969197,0.023112583,0.212230216,intersectante,,
568,PG1146-PG1108,"Cuauhtemoc, Ciudad de Mexico",9015.0,Desconocido,11.791,169.356,1,132,184.5789333,POINT (-99.14878911922018 19.430572511607934),,32.38381387,0.757607555,0.514760086,0.06343996,0.212230216,intersectante,,
569,PG1146-PG1108,"Gustavo A. Madero, Ciudad de Mexico",9005.0,Desconocido,23.465,167.662,1,132,184.5789333,POINT (-99.11558314372866 19.50328324116317),995.0,87.44540182,0.531143757,0.128427257,0.051317006,0.212230216,intersectante,,
570,PG1146-PG1108,"Iztacalco, Ciudad de Mexico",9006.0,Desconocido,5.317,177.339,1,134,184.5789333,POINT (-99.09395534265857 19.396166115797293),,23.12381883,0.238541448,0.051777546,0.02645258,0.212230216,intersectante,,
571,PG1146-PG1108,"Venustiano Carranza, Ciudad de Mexico",9017.0,Desconocido,9.857,173.705,1,134,184.5789333,POINT (-99.09280213308158 19.42974105067286),1828.0,33.5999707,0.247544596,0.08388756,0.040740347,0.212230216,intersectante,,
572,PG1146-PG1108,"Aculco, Mexico",15003.0,Desconocido,144.038,47.707,1,1,184.5789333,POINT (-99.83598791959045 20.116653693415955),,439.970732,0.022465897,0.039006593,0.010865925,0.702902918,intersectante,,
573,PG1146-PG1108,"Atizapan de Zaragoza, Mexico",15013.0,Desconocido,34.798,148.969,1,115,184.5789333,POINT (-99.26638346908723 19.56628481434991),,83.37431453,0.177597062,0.03693098,0.035173685,0.306531318,intersectante,,
574,PG1146-PG1108,"Chapa de Mota, Mexico",15026.0,Desconocido,92.559,90.999,1,1,184.5789333,POINT (-99.548187226588 19.824612388383652),,290.033728,0.016232949,0.01,0.010371111,0.668330546,intersectante,,
575,PG1146-PG1108,"Jilotepec, Mexico",15045.0,Desconocido,116.397,69.451,1,1,184.5789333,POINT (-99.60171591320807 20.018576515573603),,574.9822205,0.042549843,0.015524304,0.011608147,0.702050109,intersectante,,
576,PG1146-PG1108,"Nicolas Romero, Mexico",15060.0,Desconocido,51.842,137.847,1,6,184.5789333,POINT (-99.38819927870519 19.62685424021999),,222.2256666,0.128772298,0.034168828,0.024287767,0.587454962,intersectante,,
577,PG1146-PG1108,"Polotitlan, Mexico",15071.0,Desconocido,150.541,32.047,1,1,184.5789333,POINT (-99.8270623984252 20.221294760826105),,129.1399248,0.015194124,0.011035807,0.01136074,0.700421968,intersectante,,
578,PG1146-PG1108,"Tlalnepantla de Baz, Mexico",15104.0,Desconocido,26.268,155.69,1,128,184.5789333,POINT (-99.19413023433403 19.541273920322567),,19.94024806,0.224344176,0.099424664,0.041915532,0.272276531,intersectante,,
579,PG1146-PG1108,"Tlalnepantla de Baz, Mexico",15104.0,Desconocido,26.268,155.69,1,128,184.5789333,POINT (-99.19413023433403 19.541273920322567),,53.66484851,0.224344176,0.099424664,0.041915532,0.272276531,intersectante,,
580,PG1146-PG1108,"Villa del Carbon, Mexico",15112.0,Desconocido,72.457,110.325,1,1,184.5789333,POINT (-99.47810266517182 19.71683818728857),,308.4104746,0.019349423,0.011381076,0.010432963,0.695762319,intersectante,,
581,PG1146-PG1108,"San Juan del Rio, Queretaro",22016.0,Desconocido,182.105,2.49,1,3,184.5789333,POINT (-100.00019749033399 20.369960877974368),1303.0,780.362997,0.129118573,0.010345269,0.028679245,0.677724723,intersectante,,
582,PG1146-PG1108,"San Juan del Rio, Queretaro",22016.0,Centro,181.219,0.0,1,3,184.5789333,POINT (-99.9931982 20.386754700000004),1303.0,780.362997,0.129118573,0.010345269,0.028679245,0.677724723,destino,134641.6845177744,0.5425217871158325
583,PG1108-PG1069,"San Juan del Rio, Queretaro",22016.0,Centro,0.0,133.074,1,3,137.1947143,POINT (-99.9931982 20.386754700000004),1303.0,780.362997,0.129118573,0.010345269,0.028679245,0.677724723,origen,760453.9215723895,0.622050459386501
584,PG1108-PG1069,"Acambaro, Guanajuato",11002.0,Desconocido,110.378,28.369,1,1,137.1947143,POINT (-100.75084969544017 20.05139651283559),,867.6866295,0.028698846,0.014143228,0.021875547,0.700548199,intersectante,,
585,PG1108-PG1069,"Coroneo, Guanajuato",11010.0,Desconocido,59.614,76.17,1,1,137.1947143,POINT (-100.38414340736078 20.214700559312742),,122.9014444,0.0113851,0.01,0.010061852,0.699268821,intersectante,,
586,PG1108-PG1069,"Jerecuaro, Guanajuato",11019.0,Desconocido,76.212,61.427,1,1,137.1947143,POINT (-100.50789956576871 20.196615454685627),,877.2763028,0.015194124,0.010345269,0.010618518,0.707513166,intersectante,,
587,PG1108-PG1069,"Epitacio Huerta, Michoacan de Ocampo",16031.0,Desconocido,50.864,85.75,1,1,137.1947143,POINT (-100.28921602257414 20.14687796374016),,421.0816847,0.01069255,0.01,0.010247407,0.709977709,intersectante,,
588,PG1108-PG1069,"Zinapecuaro, Michoacan de Ocampo",16110.0,Desconocido,130.602,2.82,1,1,137.1947143,POINT (-100.76831517299739 19.87037377098861),,595.6281079,0.013462749,0.010690538,0.010927777,0.700286704,intersectante,,
589,PG1108-PG1069,"Amealco de Bonfil, Queretaro",22001.0,Desconocido,36.183,106.808,1,1,137.1947143,POINT (-100.09845699656974 20.175536779745073),,706.6291351,0.028352571,0.01,0.01136074,0.710696467,intersectante,,
590,PG1108-PG1069,"San Juan del Rio, Queretaro",22016.0,Desconocido,2.49,132.676,1,3,137.1947143,POINT (-100.00019749033399 20.369960877974368),1303.0,780.362997,0.129118573,0.010345269,0.028679245,0.677724723,intersectante,,
591,PG1108-PG1069,"Zinapecuaro, Michoacan de Ocampo",16110.0,Pacifico,132.074,0.0,1,1,137.1947143,POINT (-100.770909712988 19.856318099999996),,595.6281079,0.013462749,0.010690538,0.010927777,0.700286704,destino,,
592,PG1069-PG1030,"Zinapecuaro, Michoacan de Ocampo",16110.0,Pacifico,0.0,54.831,1,1,66.764,POINT (-100.770909712988 19.856318099999996),,595.6281079,0.013462749,0.010690538,0.010927777,0.700286704,origen,,
593,PG1069-PG1030,"Copandaro, Michoacan de Ocampo",16018.0,Desconocido,60.875,27.812,1,6,66.764,POINT (-101.22015742638986 19.916419140348903),,174.2104013,0.010346275,0.01,0.010927777,0.706814307,intersectante,,
594,PG1069-PG1030,"Indaparapeo, Michoacan de Ocampo",16040.0,Desconocido,25.169,38.938,1,6,66.764,POINT (-100.9407568878726 19.764737007764662),,176.0257971,0.012770199,0.010345269,0.010371111,0.696722737,intersectante,,
595,PG1069-PG1030,"Zinapecuaro, Michoacan de Ocampo",16110.0,Desconocido,2.82,55.405,1,1,66.764,POINT (-100.76831517299739 19.87037377098861),,595.6281079,0.013462749,0.010690538,0.010927777,0.700286704,intersectante,,
596,PG1069-PG1030,"Alvaro Obregon, Michoacan de Ocampo",16003.0,Desconocido,32.557,23.48,1,6,66.764,POINT (-101.0198624212308 19.87348193582993),,155.8265545,0.011731375,0.010345269,0.010989629,0.700922448,intersectante,,
597,PG1069-PG1030,"Cuitzeo, Michoacan de Ocampo",16020.0,Pacifico,54.831,0.0,1,1,66.764,POINT (-101.1412203 19.96931409999999),,254.5033658,0.012423924,0.010690538,0.01136074,0.700813475,destino,,
598,PG1030-PG1029,"Cuitzeo, Michoacan de Ocampo",16020.0,Pacifico,0.0,33.809,1,1,48.4695,POINT (-101.1412203 19.96931409999999),,254.5033658,0.012423924,0.010690538,0.01136074,0.700813475,origen,,
599,PG1030-PG1029,"Copandaro, Michoacan de Ocampo",16018.0,Desconocido,27.812,32.601,1,6,48.4695,POINT (-101.22015742638986 19.916419140348903),,174.2104013,0.010346275,0.01,0.010927777,0.706814307,intersectante,,
600,PG1030-PG1029,"Tarimbaro, Michoacan de Ocampo",16088.0,Desconocido,21.762,14.764,1,6,48.4695,POINT (-101.15051602165029 19.81187552589123),,260.4963754,0.028006296,0.013797959,0.014638885,0.697235762,intersectante,,
601,PG1030-PG1029,"Morelia, Michoacan de Ocampo",16053.0,Pacifico,33.809,0.0,1,6,48.4695,POINT (-101.19238179999999 19.70271160000001),,1186.866312,0.256894019,0.069731532,0.067584031,0.660152692,destino,,
602,PG1029-PG990,"Morelia, Michoacan de Ocampo",16053.0,Pacifico,0.0,115.188,1,6,123.9104286,POINT (-101.19238179999999 19.70271160000001),,1186.866312,0.256894019,0.069731532,0.067584031,0.660152692,origen,,
603,PG1029-PG990,"Erongaricuaro, Michoacan de Ocampo",16032.0,Desconocido,74.141,63.23,1,1,123.9104286,POINT (-101.72431000263218 19.618731018983723),,241.7351459,0.0113851,0.01,0.010247407,0.496202117,intersectante,,
604,PG1029-PG990,"Huiramba, Michoacan de Ocampo",16039.0,Desconocido,38.395,81.719,1,1,123.9104286,POINT (-101.45606877289221 19.52294914110906),,80.91507221,0.011038825,0.01,0.010061852,0.491728836,intersectante,,
605,PG1029-PG990,"Lagunillas, Michoacan de Ocampo",16048.0,Desconocido,35.046,85.634,1,5,123.9104286,POINT (-101.41739814029924 19.586555431192934),,80.73685777,0.011038825,0.010690538,0.010556666,0.48234129,intersectante,,
606,PG1029-PG990,"Patzcuaro, Michoacan de Ocampo",16066.0,Desconocido,55.673,63.845,1,1,123.9104286,POINT (-101.59657024840068 19.49440181507133),,431.6562357,0.024889822,0.014833766,0.014205923,0.479486802,intersectante,,
607,PG1029-PG990,"Salvador Escalante, Michoacan de Ocampo",16079.0,Desconocido,76.368,52.177,1,1,123.9104286,POINT (-101.68635550827901 19.38113193213838),,489.7087399,0.013462749,0.013107421,0.011979258,0.485985028,intersectante,,
608,PG1029-PG990,"Tingambato, Michoacan de Ocampo",16090.0,Desconocido,87.776,28.93,1,2,123.9104286,POINT (-101.84936194811579 19.51298569514099),,187.0003123,0.01069255,0.01,0.010309259,0.479979501,intersectante,,
609,PG1029-PG990,"Ziracuaretiro, Michoacan de Ocampo",16111.0,Desconocido,102.582,21.857,1,1,123.9104286,POINT (-101.90685437182438 19.42786416413915),,158.3587113,0.011038825,0.01,0.010494814,0.484242919,intersectante,,
610,PG1029-PG990,"Uruapan, Michoacan de Ocampo",16102.0,Pacifico,115.07,0.0,1,1,123.9104286,POINT (-102.0522647 19.414726899999998),,943.2027482,0.059171039,0.024501297,0.045379233,0.472861437,destino,,
611,PG1530-PG1531,"Tapachula, Chiapas",7089.0,Sur,0.0,139.376,2,67,151.5475,POINT (-92.26092649999998 14.904290500000007),70665.0,965.1183981,0.05224554,0.356292983,0.01686555,0.470408593,origen,150.74868816917336,0.23070103987324658
612,PG1530-PG1531,"Amatenango de la Frontera, Chiapas",7006.0,Desconocido,137.542,16.427,2,1,151.5475,POINT (-92.0970301371353 15.557556392696275),,245.4138123,0.01069255,0.01,0.010123704,0.498227535,intersectante,,
613,PG1530-PG1531,"Bejucal de Ocampo, Chiapas",7010.0,Desconocido,124.966,29.782,2,1,151.5475,POINT (-92.15492983583664 15.484361643848866),,73.93330408,0.01,0.01,0.01,0.498844778,intersectante,,
614,PG1530-PG1531,"Bella Vista, Chiapas",7011.0,Desconocido,157.911,21.901,2,1,151.5475,POINT (-92.2476451563102 15.622629210791658),,231.8584667,0.01,0.026319958,0.01,0.49785295,intersectante,,
615,PG1530-PG1531,"Huehuetan, Chiapas",7037.0,Desconocido,24.801,119.015,4,67,151.5475,POINT (-92.42202643272334 15.002507550619033),14693.0,310.0031404,0.013809024,0.01,0.010123704,0.489594736,intersectante,,
