secuencias,ID_Ruta
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1150, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1156",RG060
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1150, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1195, PG1233",RG061
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1150, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1233",RG062
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1150, PG1190, PG1229, PG1231, PG1192, PG1232, PG1233",RG063
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1150, PG1190, PG1229, PG1231, PG1192, PG1232, PG1233, PG1272",RG064
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1189, PG1228, PG1229, PG1229, PG1231, PG1192, PG1232, PG1233",RG065
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1189, PG1228, PG1229, PG1229, PG1231, PG1192, PG1232, PG1233, PG1272",RG066
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1341, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1117, PG1079, PG1118",RG067
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1341, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1156",RG068
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1341, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1195, PG1233",RG069
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1341, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1233",RG070
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1341, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1231, PG1192, PG1232, PG1233",RG071
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1341, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1231, PG1192, PG1232, PG1233, PG1272",RG072
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1341, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1229, PG1229, PG1231, PG1192, PG1232, PG1233",RG073
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1341, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1229, PG1229, PG1231, PG1192, PG1232, PG1233, PG1272",RG074
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1341, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1229, PG1229, PG1229, PG1231, PG1192, PG1232, PG1233",RG075
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1301, PG1341, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1229, PG1229, PG1229, PG1231, PG1192, PG1232, PG1233, PG1272",RG076
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1150, PG1151, PG1152, PG1153, PG1154, PG1115, PG1116, PG1117, PG1079, PG1118, PG1157",RG077
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1150, PG1151, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1156",RG078
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1150, PG1151, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1195, PG1233",RG079
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1150, PG1151, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1233",RG080
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1150, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1117, PG1079, PG1118",RG081
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1150, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1156",RG082
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1150, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1195, PG1233",RG083
"PG1530, PG1491, PG1492, PG1453, PG1414, PG1415, PG1376, PG1337, PG1298, PG1299, PG1300, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1188, PG1150, PG1190, PG1152, PG1153, PG1154, PG1115, PG1116, PG1155, PG1233",RG084
