,nommun,cvemun,estado,region,id_poligon,eventos,inm_30km,sc_30km,geometry
102,"San Luis de la Paz, Guanajuato",29013,Guanajuato,Centro,PG1071,65,0,0,POINT (-100.516269 21.2970466)
103,"Irapuato, Guanajuato",27003,Guanajuato,Centro,PG1031,43,0,3,POINT (-101.3521052 20.6758761)
104,"Comonfort, Guanajuato",28041,Guanajuato,Centro,PG1070,29,0,3,POINT (-100.761188 20.7199475)
105,"Apaseo el Grande, Guanajuato",23001,Guanajuato,Centro,PG1070,22,0,39,POINT (-100.597986786366 20.59193265)
106,"San Miguel de Allende, Guanajuato",29023,Guanajuato,Centro,PG1070,16,0,0,POINT (-100.743784 20.9142238)
107,"Celaya, Guanajuato",29059,Guanajuato,Centro,PG1070,8,0,3,POINT (-100.8140458 20.521788)
108,"Ocampo, Guanajuato",19042,Guanajuato,Centro,PG1032,6,0,0,POINT (-101.476239300191 21.6042823)
109,"Dolores Hidalgo Cuna de la Independencia Nacional, Guanajuato",,Guanajuato,Centro,PG1070,1,0,0,POINT (-100.7259581 21.1043597)
110,"Salamanca, Guanajuato",11022,Guanajuato,Centro,PG1031,6,0,3,POINT (-101.192444 20.571358)
111,"Leon, Guanajuato",13003,Guanajuato,Centro,PG1031,3,0,2,POINT (-101.6825081 21.1218598)
112,"Apaseo el Alto, Guanajuato",20409,Guanajuato,Centro,PG1069,1,0,32,POINT (-100.621263 20.4562767)
113,"Azoyu, Guerrero",9005,Guerrero,Pacifico,PG1181,1023,0,0,POINT (-98.600833 16.730833)
114,"San Marcos, Guerrero",28022,Guerrero,Pacifico,PG1142,379,0,0,POINT (-99.390341851477 16.85734375)
115,"Acapulco de Juarez, Guerrero",26002,Guerrero,Pacifico,PG1103,32,0,2,POINT (-99.8940182 16.8680495)
116,"Chilpancingo de los Bravo, Guerrero",29038,Guerrero,Pacifico,PG1143,30,0,4,POINT (-99.5048416 17.5542149)
117,"Zihuatanejo de Azueta, Guerrero",22011,Guerrero,Pacifico,PG1027,14,1,1,POINT (-101.496952435006 17.80789995)
118,"Tepeji del Rio de Ocampo, Hidalgo",7034,Hidalgo,Centro,PG1147,788,0,3,POINT (-99.3487181526625 19.89368265)
119,"Tula de Allende, Hidalgo",29003,Hidalgo,Centro,PG1147,76,0,4,POINT (-99.3729561601143 20.0489487)
120,"Pachuca de Soto, Hidalgo",20039,Hidalgo,Centro,PG1186,42,1,3,POINT (-98.7413535 20.1165413)
121,"Tepeapulco, Hidalgo",20324,Hidalgo,Centro,PG1185,35,0,1,POINT (-98.5522855 19.7875962)
122,"Mineral de la Reforma, Hidalgo",20018,Hidalgo,Centro,PG1186,22,1,3,POINT (-98.7305724236319 20.06063885)
123,"Tulancingo de Bravo, Hidalgo",,Hidalgo,Centro,PG1186,19,0,0,POINT (-98.3475328 20.0792094)
124,"Chapulhuacan, Hidalgo",,Hidalgo,Centro,PG1187,18,0,1,POINT (-98.9521191559816 21.1263192)
125,"Villa de Tezontepec, Hidalgo",7035,Hidalgo,Centro,PG1186,17,1,3,POINT (-98.8003276778997 19.9143587)
126,"Tizayuca, Hidalgo",11003,Hidalgo,Centro,PG1186,15,0,2,POINT (-98.9815648 19.841245)
