nombre,ciudad,estado,latitud,longitud,codigo_ruta,ID_Poligon,codigo_unico,detenciones,conteo_puntos
"Xochitepec, Morelos","Xochitepec, Morelos",Morelos,18.7831747,-99.2308448,C,PG1145,C-PG1145-3, 2,0
"Temixco, Morelos","Temixco, Morelos",Morelos,18.8449428,-99.2236369,C,PG1145,C-PG1145-4, 7,0
"Emiliano Zapata, Morelos","Emiliano Zapata, Morelos",Morelos,18.83995,-99.1870274,C,PG1145,C-PG1145-5, 4,0
"Tepoztlan, Morelos","Tepoztlan, Morelos",Morelos,18.9914959,-99.10254532724872,C,PG1145,C-PG1145-6, 1,0
"Toluca, Estado de Mexico","Toluca, Estado de Mexico",Estado de Mexico,19.292545,-99.6569007,C,PG1146,C-PG1146-1,,0
"Ocoyoacac, Estado de Mexico","Ocoyoacac, Estado de Mexico",Estado de Mexico,19.2587373,-99.41777785971426,C,PG1146,C-PG1146-2,,0
"Xalatlaco, Estado de Mexico","Xalatlaco, Estado de Mexico",Estado de Mexico,19.1843821,-99.4145622,C,PG1146,C-PG1146-3,,0
"Naucalpan de Juarez, Estado de Mexico","Naucalpan de Juarez, Estado de Mexico",Estado de Mexico,19.4788356,-99.2327986,C,PG1146,C-PG1146-4,,1
"Tepotzotlan, Estado de Mexico","Tepotzotlan, Estado de Mexico",Estado de Mexico,19.7173392,-99.2230683,C,PG1146,C-PG1146-5,,0
"Cuautitlan, Estado de Mexico","Cuautitlan, Estado de Mexico",Estado de Mexico,19.6531356,-99.2145002,C,PG1146,C-PG1146-6,,0
"Tlalnepantla de Baz, Estado de Mexico","Tlalnepantla de Baz, Estado de Mexico",Estado de Mexico,19.54649025,-99.1899352247449,C,PG1146,C-PG1146-7,,1
"Coyoacan, Ciudad de Mexico","Coyoacan, Ciudad de Mexico",Ciudad de Mexico,19.349885,-99.1623599,C,PG1146,C-PG1146-8, 7,1
"Gustavo A. Madero, Ciudad de Mexico","Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,19.4831686,-99.1137888,C,PG1146,C-PG1146-9,1 023,1
"Venustiano Carranza, Ciudad de Mexico","Venustiano Carranza, Ciudad de Mexico",Ciudad de Mexico,19.4192787,-99.1135639,C,PG1146,C-PG1146-10,1 851,1
"Iztapalapa, Ciudad de Mexico","Iztapalapa, Ciudad de Mexico",Ciudad de Mexico,19.3591195,-99.0929294,C,PG1146,C-PG1146-11,6 176,1
"Nezahualcoyotl, Estado de Mexico","Nezahualcoyotl, Estado de Mexico",Estado de Mexico,19.4079028,-99.0181547,C,PG1146,C-PG1146-12,,1
"Ecatepec de Morelos, Estado de Mexico","Ecatepec de Morelos, Estado de Mexico",Estado de Mexico,19.6074415,-99.000754,C,PG1146,C-PG1146-13,,0
"Alfajayucan, Hidalgo","Alfajayucan, Hidalgo",Hidalgo,20.410277,-99.40315343558592,C,PG1147,C-PG1147-1, 1,0
"Tula de Allende, Hidalgo","Tula de Allende, Hidalgo",Hidalgo,20.0489487,-99.37295616011426,C,PG1147,C-PG1147-2, 78,0
"Tepeji del Rio de Ocampo, Hidalgo","Tepeji del Rio de Ocampo, Hidalgo",Hidalgo,19.89368265,-99.34871815266254,C,PG1147,C-PG1147-3, 789,0
"Ixmiquilpan, Hidalgo","Ixmiquilpan, Hidalgo",Hidalgo,20.481944,-99.218056,C,PG1147,C-PG1147-4, 1,0
"Atitalaquia, Hidalgo","Atitalaquia, Hidalgo",Hidalgo,20.0597395,-99.21328819731298,C,PG1147,C-PG1147-5, 2,0
"Huehuetoca, Estado de Mexico","Huehuetoca, Estado de Mexico",Estado de Mexico,19.833375,-99.2044638,C,PG1147,C-PG1147-6,,0
"Apaxco, Estado de Mexico","Apaxco, Estado de Mexico",Estado de Mexico,19.9807399,-99.15181011020428,C,PG1147,C-PG1147-7,,0
"Zumpango, Estado de Mexico","Zumpango, Estado de Mexico",Estado de Mexico,19.81293675,-99.08180953352704,C,PG1147,C-PG1147-8,,0
"Antiguo Morelos, Tamaulipas","Antiguo Morelos, Tamaulipas",Tamaulipas,22.56570125,-99.08713716065976,G,PG1150,G-PG1150-1, 117,0
"Jaumave, Tamaulipas","Jaumave, Tamaulipas",Tamaulipas,23.40496,-99.3806698,G,PG1152,G-PG1152-1, 501,0
"Victoria, Tamaulipas","Victoria, Tamaulipas",Tamaulipas,23.7389846,-99.1441352,G,PG1152,G-PG1152-2, 33,0
"Hidalgo, Tamaulipas","Hidalgo, Tamaulipas",Tamaulipas,24.2480354,-99.4382079,G,PG1153,G-PG1153-1, 45,0
