nommun,2020,2021,2022,2023,2024
"San Pablo Huitzo, Oaxaca",96,920,539,728,162
"San Pablo Villa de Mitla, Oaxaca",2,50,0,0,0
"San Pablo del Monte, Tlaxcala",0,135,2,2,0
"San Pedro Comitancillo, Oaxaca",1,0,0,0,0
"San Pedro Garza Garcia, Nuevo Leon",6,6,1,1,0
"San Pedro Ixtlahuaca, Oaxaca",0,0,0,1,0
"San Pedro Mixtepec -Dto. 22 -, Oaxaca",8,1,183,3,9
"San Pedro Pochutla, Oaxaca",0,1,2,36,20
"San Pedro Tapanatepec, Oaxaca",735,1826,2521,283,1013
"San Pedro Tlaquepaque, Jalisco",1,0,8,0,0
"San Pedro Totolapam, Oaxaca",2,60,0,20,0
"San Quintin, Baja California",0,0,0,3,33
"San Raymundo Jalpan, Oaxaca",1,0,0,0,0
"San Salvador, Hidalgo",0,0,1,0,0
"San Sebastian Tutla, Oaxaca",0,77,11,3,0
"Sanctorum de Lazaro Cardenas, Tlaxcala",0,237,48,13,0
"Santa Ana, Sonora",0,0,0,12357,1495
"Santa Apolonia Teacalco, Tlaxcala",0,4,0,0,0
"Santa Catarina, Nuevo Leon",119,45,208,167,33
"Santa Cruz Amilpas, Oaxaca",12,0,0,0,0
"Santa Cruz Quilehtla, Tlaxcala",0,0,0,9,2
"Santa Cruz Tlaxcala, Tlaxcala",0,0,26,2,42
"Santa Cruz Xoxocotlan, Oaxaca",12,5,118,750,390
"Santa Lucia del Camino, Oaxaca",4,11,19,6,41
"Santa Maria Atzompa, Oaxaca",4,3,1,4,0
"Santa Maria Colotepec, Oaxaca",0,0,1,0,0
"Santa Maria Coyotepec, Oaxaca",0,4,0,9,14
"Santa Maria Ecatepec, Oaxaca",0,0,4,0,14
"Santa Maria Huatulco, Oaxaca",177,105,61,163,213
"Santa Maria Jalapa del Marques, Oaxaca",245,369,817,1265,237
"Santa Maria Mixtequilla, Oaxaca",1,0,0,37,0
"Santa Maria Tonameca, Oaxaca",0,1,0,1,0
"Santa Maria del Oro, Nayarit",5,105,168,0,0
"Santa Maria del Tule, Oaxaca",68,0,0,1,0
"Santiago Juxtlahuaca, Oaxaca",2,0,0,1,0
"Santiago Laollaga, Oaxaca",0,3,0,0,0
"Santiago Matatlan, Oaxaca",3,66,14,0,0
"Santiago Niltepec, Oaxaca",9,339,317,14,0
"Santiago Pinotepa Nacional, Oaxaca",0,0,0,7,0
"Santiago Suchilquitongo, Oaxaca",0,17,0,0,0
"Santiago Tulantepec de Lugo Guerrero, Hidalgo",1,0,0,0,0
"Santiago Yaveo, Oaxaca",0,24,5,0,0
"Santiago de Anaya, Hidalgo",0,0,0,0,5
"Santiago, Nuevo Leon",13,11,43,23,6
"Santo Domingo Ingenio, Oaxaca",20,11,0,0,0
"Santo Domingo Tehuantepec, Oaxaca",74,486,415,222,217
"Santo Domingo Yanhuitlan, Oaxaca",0,0,2,44,0
"Santo Domingo Zanatepec, Oaxaca",111,5,11,0,0
"Santo Tomas Hueyotlipan, Puebla",1,0,0,0,0
"Sayula de Aleman, Veracruz",1,1073,129,9311,58
"Seybaplaya, Campeche",0,0,28,13,0
"Siltepec, Chiapas",2,0,0,1,0
"Singuilucan, Hidalgo",0,0,1,0,0
"Soconusco, Veracruz",0,138,9,0,0
"Soledad Etla, Oaxaca",0,0,4,0,0
"Soledad de Doblado, Veracruz",0,0,19,3,0
