ciudad,Latitude,Longitude,Coordinates,enero_presentados,enero_canalizados,enero_total,febrero_presentados,febrero_canalizados,febrero_total,marzo_presentados,marzo_canalizados,marzo_total,abril_presentados,abril_canalizados,abril_total,mayo_presentados,mayo_canalizados,mayo_total,junio_presentados,junio_canalizados,junio_total,julio_presentados,julio_canalizados,julio_total,agosto_presentados,agosto_canalizados,agosto_total,septiembre_presentados,septiembre_canalizados,septiembre_total,octubre_presentados,octubre_canalizados,octubre_total,noviembre_presentados,noviembre_canalizados,noviembre_total,diciembre_presentados,diciembre_canalizados,diciembre_total,total_presentados,total_canalizados,total_total
"Palenque, Chiapas",17.509188,-91.980922,"17.509188,-91.980922",340,166,506,436,290,726,435,277,712,451,413,864,447,248,695,458,253,711,361,245,606,231,214,445,200,228,428,1191,668,1859,611,517,1128,141,206,347,5302,3725,9027
"Pantepec, Chiapas",17.194414199999997,-93.05246608493754,"17.194414199999997,-93.05246608493754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"Pijijiapan, Chiapas",15.6849991,-93.2080195,"15.6849991,-93.2080195",405,6,411,630,38,668,1044,180,1224,213,24,237,422,137,559,591,246,837,450,271,721,263,229,492,384,415,799,1921,292,2213,1676,664,2340,664,132,796,8663,2634,11297
"Salto de Agua, Chiapas",17.4348976,-92.22480249886087,"17.4348976,-92.22480249886087",0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
"San Cristóbal de las Casas, Chiapas",16.6835469,-92.61551841991157,"16.6835469,-92.61551841991157",49,23,72,181,41,222,163,16,179,52,22,74,2,0,2,1,3,4,83,106,189,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,533,212,745
"Siltepec, Chiapas",15.5561492,-92.3226035,"15.5561492,-92.3226035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Suchiate, Chiapas",14.6321744,-92.24196336095298,"14.6321744,-92.24196336095298",539,200,739,274,87,361,253,301,554,230,96,326,926,963,1889,1580,2030,3610,1903,2198,4101,8,3355,3363,1948,2364,4312,1044,1354,2398,922,1649,2571,725,1040,1765,10352,15637,25989
"Tapachula, Chiapas",14.9042905,-92.2609265,"14.9042905,-92.2609265",2972,4915,7887,3501,4384,7885,3917,3004,6921,1194,307,1501,5064,2613,7677,7851,4510,12361,9831,4727,14558,67,5766,5833,10151,4607,14758,4480,2927,7407,2943,3686,6629,3570,1499,5069,55541,42945,98486
"Teopisca, Chiapas",16.5420839,-92.4736561,"16.5420839,-92.4736561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Tonalá, Chiapas",16.0894476,-93.7546502,"16.0894476,-93.7546502",0,0,0,0,0,0,0,0,0,3,4,7,55,85,140,29,16,45,0,0,0,13,0,13,0,0,0,0,25,25,0,0,0,0,0,0,100,130,230
"Tuxtla Chico, Chiapas",14.8768619,-92.19675245459757,"14.8768619,-92.19675245459757",84,30,114,0,0,0,0,0,0,0,0,0,20,4,24,0,0,0,0,0,0,0,0,0,0,56,56,2,181,183,8,101,109,84,25,109,198,397,595
"Tuxtla Gutiérrez, Chiapas",16.753801,-93.115959,"16.753801,-93.115959",653,218,871,476,167,643,775,207,982,248,61,309,733,484,1217,119,46,165,108,193,301,30,327,357,95,4,99,2713,1559,4272,3038,1473,4511,822,592,1414,9810,5331,15141
"Unión Juárez, Chiapas",15.07074175,-92.09254280799922,"15.07074175,-92.09254280799922",427,108,535,442,226,668,188,152,340,54,30,84,12,6,18,0,12,12,0,15,15,0,14,14,0,0,0,37,260,297,4,171,175,367,149,516,1531,1143,2674
"Villa Comaltitlán, Chiapas",15.170973199999999,-92.61288629080111,"15.170973199999999,-92.61288629080111",0,0,0,0,0,0,0,1,1,0,6,6,66,44,110,73,23,96,60,71,131,3,181,184,366,141,507,382,38,420,135,94,229,89,62,151,1174,661,1835
"Villa Corzo, Chiapas",16.0631888,-93.26500252520376,"16.0631888,-93.26500252520376",0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
"Villaflores, Chiapas",16.37550225,-93.3589334041931,"16.37550225,-93.3589334041931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,0,0,0,5,0,5
"Yajalón, Chiapas",17.1768885,-92.3519609858044,"17.1768885,-92.3519609858044",0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
"Chihuahua, Chihuahua",28.5000001,-106.0000001,"28.5000001,-106.0000001",31,6,37,30,4,34,52,15,67,13,3,16,3,0,3,143,3,146,455,0,455,731,0,731,78,6,84,12,5,17,148,81,229,184,32,216,1880,155,2035
"Janos, Chihuahua",30.8893267,-108.1930484,"30.8893267,-108.1930484",32,0,32,0,0,0,5,0,5,0,0,0,0,0,0,2,0,2,42,0,42,35,0,35,7,0,7,0,0,0,6,0,6,0,0,0,129,0,129
"Juárez, Chihuahua",31.7372575,-106.485655,"31.7372575,-106.485655",1917,732,2649,1309,331,1640,324,0,324,0,0,0,256,0,256,940,0,940,382,0,382,310,0,310,383,1,384,115,0,115,543,0,543,369,13,382,6848,1077,7925
"Ojinaga, Chihuahua",29.5654282,-104.4128523,"29.5654282,-104.4128523",8,0,8,7,0,7,38,0,38,18,0,18,0,0,0,0,0,0,9,0,9,0,0,0,3,0,3,0,0,0,0,4,4,7,0,7,90,4,94
"Coyoacán, Ciudad de México",19.349885,-99.1623599,"19.349885,-99.1623599",0,1,1,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,7
"Gustavo A. Madero, Ciudad de México",19.4831686,-99.1137888,"19.4831686,-99.1137888",0,1,1,0,31,31,0,58,58,0,122,122,0,23,23,0,104,104,0,163,163,0,120,120,0,107,107,0,139,139,0,89,89,0,66,66,0,1023,1023
"Iztapalapa, Ciudad de México",19.3591195,-99.0929294,"19.3591195,-99.0929294",268,0,268,453,0,453,492,0,492,385,0,385,255,0,255,530,0,530,638,0,638,584,0,584,651,1,652,777,0,777,610,81,691,451,0,451,6094,82,6176
"Venustiano Carranza, Ciudad de México",19.4192787,-99.1135639,"19.4192787,-99.1135639",0,155,155,0,156,156,0,221,221,0,110,110,0,26,26,0,136,136,0,158,158,0,275,275,0,191,191,0,175,175,0,109,109,0,139,139,0,1851,1851
"Acuña, Coahuila",29.3248796,-100.9322287,"29.3248796,-100.9322287",154,1,155,434,5,439,343,11,354,400,37,437,160,70,230,19,1,20,12,3,15,19,3,22,0,0,0,0,0,0,0,0,0,0,0,0,1541,131,1672
"Allende, Coahuila",28.3420816,-100.8517302,"28.3420816,-100.8517302",0,0,0,0,0,0,0,0,0,37,38,75,0,0,0,0,0,0,0,0,0,0,0,0,164,50,214,0,0,0,0,0,0,0,0,0,201,88,289
"Francisco I. Madero, Coahuila",26.23755265,-103.09965556876554,"26.23755265,-103.09965556876554",0,0,0,0,0,0,0,0,0,20,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,25
"Guerrero, Coahuila",28.3093253,-100.3805564,"28.3093253,-100.3805564",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6,0,0,0,0,0,0,0,0,0,5,1,6
"Monclova, Coahuila",26.8999988,-101.4171173,"26.8999988,-101.4171173",147,30,177,65,8,73,183,14,197,20,0,20,6,6,12,13,0,13,0,0,0,0,0,0,91,53,144,1,0,1,34,71,105,218,247,465,778,429,1207
"Nava, Coahuila",28.4217309,-100.7674167,"28.4217309,-100.7674167",0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
"Piedras Negras, Coahuila",28.7041725,-100.5148362,"28.7041725,-100.5148362",2981,625,3606,903,444,1347,1446,324,1770,1428,134,1562,772,440,1212,872,658,1530,817,579,1396,681,537,1218,761,133,894,1057,205,1262,950,545,1495,2916,993,3909,15584,5617,21201
"Saltillo, Coahuila",25.4230425,-100.9927509,"25.4230425,-100.9927509",174,21,195,97,85,182,75,21,96,19,16,35,10,4,14,3,25,28,2,0,2,1,16,17,1,5,6,0,0,0,18,29,47,112,211,323,512,433,945
"Torreón, Coahuila",25.542698,-103.410512,"25.542698,-103.410512",5,65,70,55,49,104,278,139,417,60,9,69,37,16,53,4,42,46,4,0,4,0,0,0,0,0,0,0,0,0,9,9,18,19,25,44,471,354,825
"Colima, Colima",19.166667,-104.0,"19.166667,-104.0",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
"Manzanillo, Colima",19.0506256,-104.3159957,"19.0506256,-104.3159957",0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,5,0,0,0,1,0,1,0,0,0,9,0,9
"Villa de Álvarez, Colima",19.2651417,-103.736013,"19.2651417,-103.736013",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2
"Durango, Durango",24.833333,-104.833333,"24.833333,-104.833333",0,7,7,0,9,9,0,4,4,36,21,57,24,11,35,23,10,33,56,14,70,0,0,0,33,4,37,103,3,106,17,0,17,0,0,0,292,83,375
"Gómez Palacio, Durango",25.5732473,-103.494779,"25.5732473,-103.494779",191,42,233,127,37,164,147,14,161,29,18,47,4,0,4,0,10,10,12,3,15,231,1,232,17,0,17,52,0,52,54,0,54,59,0,59,923,125,1048
