ciudad,Latitude,Longitude,Coordinates,enero_presentados,enero_canalizados,enero_total,febrero_presentados,febrero_canalizados,febrero_total,marzo_presentados,marzo_canalizados,marzo_total,abril_presentados,abril_canalizados,abril_total,mayo_presentados,mayo_canalizados,mayo_total,junio_presentados,junio_canalizados,junio_total,julio_presentados,julio_canalizados,julio_total,agosto_presentados,agosto_canalizados,agosto_total,septiembre_presentados,septiembre_canalizados,septiembre_total,octubre_presentados,octubre_canalizados,octubre_total,noviembre_presentados,noviembre_canalizados,noviembre_total,diciembre_presentados,diciembre_canalizados,diciembre_total,total_presentados,total_canalizados,total_total
"San Pedro Tapanatepec, Oaxaca",16.3689223,-94.1927528,"16.3689223,-94.1927528",16,6,22,58,70,128,15,37,52,10,17,27,0,0,0,0,0,0,0,6,6,0,8,8,3,1,4,9,1,10,1,16,17,9,0,9,121,162,283
"San Pedro Totolápam, Oaxaca",15.8659835,-97.0043148,"15.8659835,-97.0043148",6,0,6,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20
"San Sebastián Tutla, Oaxaca",17.059722,-96.672222,"17.059722,-96.672222",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,2,3
"Santa Cruz Xoxocotlán, Oaxaca",17.026389,-96.733333,"17.026389,-96.733333",0,0,0,14,0,14,3,0,3,0,0,0,0,0,0,103,0,103,25,0,25,143,1,144,98,70,168,77,0,77,146,20,166,31,0,31,640,91,731
"Santa Lucía del Camino, Oaxaca",17.0625,-96.693333,"17.0625,-96.693333",1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,4,2,6
"Santa María Atzompa, Oaxaca",17.1011053,-96.7777739,"17.1011053,-96.7777739",0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"Santa María Coyotepec, Oaxaca",16.9716988,-96.71080424404754,"16.9716988,-96.71080424404754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,4,1,0,1,10,0,10
"Santa María del Tule, Oaxaca",17.0476822,-96.6334574,"17.0476822,-96.6334574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"Santa María Huatulco, Oaxaca",15.8337711,-96.3214401,"15.8337711,-96.3214401",28,0,28,34,46,80,8,0,8,6,0,6,26,10,36,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,56,170
"Santa María Jalapa del Marqués, Oaxaca",16.4403557,-95.4448148,"16.4403557,-95.4448148",22,114,136,0,167,167,0,182,182,0,144,144,0,22,22,0,1,1,0,46,46,0,111,111,0,180,180,0,159,159,0,116,116,0,0,0,22,1242,1264
"Santa María Mixtequilla, Oaxaca",16.374444,-95.259722,"16.374444,-95.259722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,37,0,37
"Santa María Tonameca, Oaxaca",15.745833,-96.547222,"15.745833,-96.547222",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Santiago Juxtlahuaca, Oaxaca",17.334443,-98.010574,"17.334443,-98.010574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Santiago Niltepec, Oaxaca",16.5614134,-94.6131085,"16.5614134,-94.6131085",14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
"Santiago Pinotepa Nacional, Oaxaca",16.3406076,-98.0536701,"16.3406076,-98.0536701",2,0,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
"Santo Domingo Tehuantepec, Oaxaca",16.3172613,-95.2468005,"16.3172613,-95.2468005",0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,8,24,32,28,0,28,0,0,0,0,55,55,6,94,100,42,180,222
"Santo Domingo Yanhuitlán, Oaxaca",17.5273478,-97.3421502,"17.5273478,-97.3421502",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,15,0,15,9,0,9,19,0,19,0,0,0,0,0,0,43,1,44
"Tlacolula de Matamoros, Oaxaca",16.9314623,-96.46110745930906,"16.9314623,-96.46110745930906",0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,16,0,16,23,0,23,0,0,0,85,8,93,93,6,99,59,22,81,20,16,36,297,54,351
"Trinidad Zaachila, Oaxaca",16.921389,-96.765,"16.921389,-96.765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
"Villa de Etla, Oaxaca",17.2057678,-96.7981939,"17.2057678,-96.7981939",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Villa de Tamazulápam del Progreso, Oaxaca",17.6748203,-97.5720083,"17.6748203,-97.5720083",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Villa de Tututepec, Oaxaca",16.1303062,-97.6080871,"16.1303062,-97.6080871",0,0,0,25,0,25,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37
"Villa de Zaachila, Oaxaca",16.950833,-96.749167,"16.950833,-96.749167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,49,77,0,0,0,0,0,0,0,0,0,28,49,77
"Villa Tejúpam de la Unión, Oaxaca",17.6625,-97.470833,"17.6625,-97.470833",0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Puebla, Puebla",18.833333,-98.0,"18.833333,-98.0",411,143,554,586,381,967,954,480,1434,494,203,697,172,84,256,7,4,11,1,11,12,69,507,576,45,59,104,29,71,100,149,137,286,38,34,72,2955,2114,5069
"El Marqués, Querétaro",20.73507785,-100.28357653504233,"20.73507785,-100.28357653504233",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
"Querétaro, Querétaro",20.5927744,-100.3902245,"20.5927744,-100.3902245",0,0,0,32,0,32,29,0,29,1,0,1,0,0,0,0,0,0,90,0,90,235,0,235,90,0,90,0,0,0,354,0,354,40,1,41,871,1,872
"San Juan del Río, Querétaro",20.3867547,-99.9931982,"20.3867547,-99.9931982",66,3,69,0,0,0,0,0,0,156,0,156,4,3,7,0,0,0,0,1,1,0,256,256,0,396,396,64,353,417,0,2,2,0,0,0,290,1014,1304
"Bacalar, Quintana Roo",18.6782559,-88.3922556,"18.6782559,-88.3922556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,5,0,0,0,0,0,0,0,0,0,9,0,9
"Benito Juárez, Quintana Roo",21.076680850000002,-86.92633521708406,"21.076680850000002,-86.92633521708406",51,7,58,97,16,113,181,11,192,183,25,208,71,1,72,97,3,100,347,49,396,251,11,262,130,2,132,83,1,84,173,23,196,84,0,84,1748,149,1897
"Cozumel, Quintana Roo",20.4320599,-86.92069058377268,"20.4320599,-86.92069058377268",0,0,0,15,0,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,18,6,24
"Isla Mujeres, Quintana Roo",21.2371906,-86.7350001,"21.2371906,-86.7350001",10,0,10,4,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,7,23,1,24
"Othón P. Blanco, Quintana Roo",18.43704555,-88.82575815803347,"18.43704555,-88.82575815803347",7,0,7,21,4,25,12,0,12,5,0,5,1,0,1,16,2,18,71,12,83,36,11,47,33,13,46,43,2,45,59,12,71,9,0,9,313,56,369
"Solidaridad, Quintana Roo",20.584374699999998,-87.50345268296755,"20.584374699999998,-87.50345268296755",3,0,3,12,2,14,6,0,6,6,2,8,4,3,7,0,3,3,46,14,60,1,19,20,4,9,13,5,15,20,8,1,9,5,10,15,100,78,178
"Tulum, Quintana Roo",20.1692965,-87.44954812616734,"20.1692965,-87.44954812616734",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
"Cedral, San Luis Potosí",23.8205361,-100.7242892,"23.8205361,-100.7242892",0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
"San Luis Potosí, San Luis Potosí",22.5000001,-100.4949145,"22.5000001,-100.4949145",244,0,244,308,0,308,378,0,378,216,0,216,11,0,11,0,126,126,61,0,61,293,0,293,467,0,467,374,0,374,441,0,441,1230,5,1235,4023,131,4154
"Ahome, Sinaloa",25.924049099999998,-109.20583440830308,"25.924049099999998,-109.20583440830308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,2,2,2,4
"Angostura, Sinaloa",25.3657471,-108.16152,"25.3657471,-108.16152",20,21,41,0,0,0,21,17,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,38,79
"Culiacán, Sinaloa",24.7978965,-107.393395,"24.7978965,-107.393395",2,0,2,4,0,4,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11
"Guasave, Sinaloa",25.5738,-108.4674697,"25.5738,-108.4674697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
"Mazatlán, Sinaloa",23.2035785,-106.4208391,"23.2035785,-106.4208391",54,19,73,92,125,217,102,115,217,21,39,60,0,0,0,0,0,0,0,88,88,0,109,109,0,105,105,3,71,74,7,21,28,0,5,5,279,697,976
"Agua Prieta, Sonora",31.3330151,-109.5594265,"31.3330151,-109.5594265",0,0,0,0,0,0,0,0,0,13,0,13,17,2,19,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,33,2,35
"Altar, Sonora",30.7170323,-111.8380038,"30.7170323,-111.8380038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,30,30
"Caborca, Sonora",30.7166014,-112.1562598,"30.7166014,-112.1562598",0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,132,241,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,132,282,414
"Cajeme, Sonora",27.71198065,-109.9022075359282,"27.71198065,-109.9022075359282",0,0,0,0,0,0,0,75,75,36,9,45,109,11,120,138,71,209,7,0,7,0,0,0,0,0,0,0,6,6,42,229,271,52,255,307,384,656,1040
"General Plutarco Elías Calles, Sonora",31.6949837,-112.71174894524103,"31.6949837,-112.71174894524103",0,0,0,0,0,0,0,17,17,45,1,46,21,14,35,38,10,48,152,104,256,2,0,2,0,0,0,0,0,0,35,15,50,670,307,977,963,468,1431
"Guaymas, Sonora",27.9216441,-110.8994059,"27.9216441,-110.8994059",0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0,96,0,96,690,7,697,786,74,860
"Hermosillo, Sonora",29.0948207,-110.9692202,"29.0948207,-110.9692202",1383,363,1746,1351,365,1716,1653,49,1702,91,16,107,185,40,225,148,17,165,176,24,200,55,20,75,927,35,962,386,26,412,496,243,739,899,689,1588,7750,1887,9637
"Huatabampo, Sonora",26.8248431,-109.6420085,"26.8248431,-109.6420085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,1,1045,1044,1,1045
"Imuris, Sonora",30.7874899,-110.8463861,"30.7874899,-110.8463861",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,7
"Navojoa, Sonora",27.0721872,-109.4438227,"27.0721872,-109.4438227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,1,626,197,0,197,822,1,823
"Nogales, Sonora",31.3285057,-110.9450472,"31.3285057,-110.9450472",1,0,1,0,0,0,0,122,122,2317,263,2580,656,46,702,14,0,14,78,6,84,55,4,59,57,4,61,89,0,89,108,0,108,264,0,264,3639,445,4084
"Puerto Peñasco, Sonora",31.3170867,-113.531819,"31.3170867,-113.531819",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"San Luis Río Colorado, Sonora",32.4517957,-114.7652542,"32.4517957,-114.7652542",0,0,0,1,0,1,0,26,26,13,2,15,0,0,0,11,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,42,67
"Santa Ana, Sonora",30.5410922,-111.1184881,"30.5410922,-111.1184881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1546,393,1939,743,440,1183,2138,1128,3266,1789,900,2689,618,481,1099,841,303,1144,919,102,1021,8594,3747,12341
"Balancán, Tabasco",17.79751665,-91.34585889385215,"17.79751665,-91.34585889385215",4,5,9,4,0,4,46,7,53,4,0,4,0,0,0,12,0,12,0,0,0,63,0,63,16,0,16,0,0,0,347,1,348,959,4,963,1455,17,1472
"Cárdenas, Tabasco",17.990878,-93.3753314,"17.990878,-93.3753314",77,23,100,106,59,165,137,52,189,87,27,114,379,102,481,670,4,674,1176,5,1181,1775,2,1777,1877,3,1880,1885,4,1889,1777,105,1882,2760,8,2768,12706,394,13100
"Centla, Tabasco",18.353676200000002,-92.65219864326909,"18.353676200000002,-92.65219864326909",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,43,0,43,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,45
"Centro, Tabasco",18.027158800000002,-92.77479118046158,"18.027158800000002,-92.77479118046158",476,29,505,260,96,356,772,142,914,95,32,127,1607,124,1731,2919,187,3106,7367,303,7670,8217,657,8874,9190,2080,11270,5781,1688,7469,11387,527,11914,17617,108,17725,65688,5973,71661
"Comalcalco, Tabasco",18.2615076,-93.2231523,"18.2615076,-93.2231523",0,0,0,0,0,0,0,0,0,0,0,0,55,0,55,174,1,175,85,0,85,52,0,52,1,0,1,0,0,0,0,0,0,0,0,0,367,1,368
"Cunduacán, Tabasco",18.066059,-93.173675,"18.066059,-93.173675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2
"Emiliano Zapata, Tabasco",17.693626000000002,-91.63973455765353,"17.693626000000002,-91.63973455765353",59,65,124,80,32,112,137,143,280,129,100,229,321,112,433,399,44,443,396,22,418,303,11,314,549,3,552,904,55,959,1241,41,1282,1454,43,1497,5972,671,6643
"Huimanguillo, Tabasco",17.7620967,-93.66344080511583,"17.7620967,-93.66344080511583",1155,488,1643,997,737,1734,1226,795,2021,1279,980,2259,3010,1061,4071,4575,327,4902,7474,445,7919,13031,756,13787,12840,755,13595,14715,878,15593,15199,844,16043,13588,368,13956,89089,8434,97523
"Jalapa, Tabasco",17.721716,-92.812012,"17.721716,-92.812012",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,69,0,69,567,2,569,1183,5,1188,979,1,980,1050,2,1052,1495,48,1543,2076,0,2076,7421,58,7479
"Macuspana, Tabasco",17.760922,-92.596108,"17.760922,-92.596108",356,54,410,189,51,240,280,94,374,237,122,359,1088,176,1264,4119,62,4181,3319,87,3406,4794,104,4898,4588,56,4644,3334,380,3714,4391,150,4541,6647,101,6748,33342,1437,34779
"Paraíso, Tabasco",18.3987331,-93.2125326,"18.3987331,-93.2125326",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Tacotalpa, Tabasco",17.5952197,-92.8253388,"17.5952197,-92.8253388",7,0,7,0,0,0,0,0,0,0,0,0,101,10,111,929,16,945,872,21,893,1678,8,1686,1462,0,1462,783,36,819,849,219,1068,2371,5,2376,9052,315,9367
"Teapa, Tabasco",17.5566526,-92.9480504,"17.5566526,-92.9480504",105,3,108,82,4,86,49,16,65,62,11,73,397,75,472,851,11,862,879,11,890,1431,3,1434,990,2,992,1077,58,1135,1230,19,1249,2574,7,2581,9727,220,9947
"Tenosique, Tabasco",17.4707129,-91.4220212,"17.4707129,-91.4220212",231,169,400,331,280,611,698,730,1428,297,331,628,1360,246,1606,3178,111,3289,2854,97,2951,6418,300,6718,4599,385,4984,4615,947,5562,5988,945,6933,4599,360,4959,35168,4901,40069
"Aldama, Tamaulipas",22.9196081,-98.0741727,"22.9196081,-98.0741727",0,0,0,8,2,10,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,14
"Altamira, Tamaulipas",22.3921625,-97.9362975,"22.3921625,-97.9362975",13,41,54,14,4,18,33,15,48,5,3,8,9,8,17,1,0,1,57,0,57,0,0,0,144,315,459,79,38,117,0,28,28,15,11,26,370,463,833
"Antiguo Morelos, Tamaulipas",22.56570125,-99.08713716065975,"22.56570125,-99.08713716065975",18,17,35,9,0,9,18,5,23,8,1,9,0,0,0,0,0,0,14,0,14,0,0,0,15,12,27,0,0,0,0,0,0,0,0,0,82,35,117
"Cruillas, Tamaulipas",24.7554618,-98.5369904,"24.7554618,-98.5369904",31,23,54,52,0,52,60,0,60,5,0,5,0,0,0,21,0,21,380,0,380,0,0,0,145,23,168,109,64,173,0,72,72,0,0,0,803,182,985
"El Mante, Tamaulipas",22.607873650000002,-98.93534140593027,"22.607873650000002,-98.93534140593027",0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
"González, Tamaulipas",22.790387350000003,-98.57631895542931,"22.790387350000003,-98.57631895542931",0,0,0,2,2,4,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8
"Hidalgo, Tamaulipas",24.2480354,-99.4382079,"24.2480354,-99.4382079",4,1,5,12,0,12,11,0,11,4,0,4,0,0,0,2,0,2,0,0,0,0,0,0,2,2,4,0,0,0,0,7,7,0,0,0,35,10,45
"Jaumave, Tamaulipas",23.40496,-99.3806698,"23.40496,-99.3806698",31,25,56,24,0,24,59,0,59,9,0,9,0,0,0,4,0,4,277,0,277,0,0,0,2,0,2,9,0,9,0,19,19,6,36,42,421,80,501
"Jiménez, Tamaulipas",24.2169169,-98.483929,"24.2169169,-98.483929",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"Matamoros, Tamaulipas",25.8810158,-97.5064866,"25.8810158,-97.5064866",76,0,76,153,0,153,130,0,130,0,4,4,0,0,0,0,3,3,0,0,0,0,1,1,10,19,29,0,0,0,0,9,9,0,0,0,369,36,405
"Miguel Alemán, Tamaulipas",26.3995446,-99.0314218,"26.3995446,-99.0314218",2,0,2,2,0,2,1,0,1,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,16,0,16
"Nuevo Laredo, Tamaulipas",27.4950571,-99.5074431,"27.4950571,-99.5074431",13,9,22,13,0,13,38,9,47,57,2,59,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,123,20,143
"Reynosa, Tamaulipas",26.0907673,-98.2788191,"26.0907673,-98.2788191",525,0,525,549,0,549,1461,4,1465,371,0,371,302,0,302,38,0,38,88,55,143,45,241,286,62,2,64,0,819,819,8,648,656,45,1093,1138,3494,2862,6356
"Río Bravo, Tamaulipas",25.988981,-98.0945766,"25.988981,-98.0945766",0,0,0,51,0,51,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,4,58
"San Fernando, Tamaulipas",24.8466769,-98.1473493,"24.8466769,-98.1473493",6,18,24,36,13,49,63,46,109,0,0,0,0,0,0,3,0,3,167,0,167,0,0,0,25,7,32,85,100,185,0,38,38,24,42,66,409,264,673
"Soto la Marina, Tamaulipas",23.87599915,-98.0502640007194,"23.87599915,-98.0502640007194",0,0,0,3,0,3,14,9,23,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,12,12,24,0,1,1,0,0,0,0,0,0,30,23,53
"Tampico, Tamaulipas",22.2157619,-97.8577713,"22.2157619,-97.8577713",13,26,39,46,43,89,94,80,174,39,17,56,8,3,11,6,0,6,47,0,47,0,0,0,53,31,84,4,19,23,0,25,25,4,5,9,314,249,563
"Victoria, Tamaulipas",23.7389846,-99.1441352,"23.7389846,-99.1441352",0,0,0,1,0,1,3,0,3,6,0,6,1,0,1,0,0,0,0,0,0,0,0,0,15,2,17,0,0,0,0,5,5,0,0,0,26,7,33
"Amaxac de Guerrero, Tlaxcala",19.348889,-98.167778,"19.348889,-98.167778",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
"Apetatitlán de Antonio Carvajal, Tlaxcala",19.3505173,-98.19120205454091,"19.3505173,-98.19120205454091",234,1,235,7,0,7,23,2,25,5,0,5,5,1,6,1,0,1,22,5,27,2,2,4,8,0,8,7,0,7,7,1,8,5,1,6,326,13,339
"Apizaco, Tlaxcala",19.415556,-98.14,"19.415556,-98.14",9,3,12,6,4,10,4,0,4,19,3,22,8,53,61,0,0,0,7,10,17,0,0,0,1,0,1,3,0,3,3,0,3,1,0,1,61,73,134
"Atlangatepec, Tlaxcala",19.530833,-98.208333,"19.530833,-98.208333",75,8,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,8,83
"Calpulalpan, Tlaxcala",19.587778,-98.569167,"19.587778,-98.569167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,15,10,0,10,0,0,0,24,1,25
"Chiautempan, Tlaxcala",19.313889,-98.1925,"19.313889,-98.1925",0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,2,6,1,0,1,14,2,16
"Cuapiaxtla, Tlaxcala",19.2961777,-97.768912,"19.2961777,-97.768912",0,0,0,18,29,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,47
"Huamantla, Tlaxcala",19.313427,-97.9230236,"19.313427,-97.9230236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,14,8,19,27,8,8,16,3,7,10,2,0,2,4,0,4,0,0,0,31,42,73
"Hueyotlipan, Tlaxcala",19.469444,-98.348056,"19.469444,-98.348056",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,13,0,0,0,0,0,0,0,0,0,4,10,14
"Ixtacuixtla de Mariano Matamoros, Tlaxcala",19.346703650000002,-98.37815810373962,"19.346703650000002,-98.37815810373962",141,104,245,302,345,647,170,136,306,100,94,194,20,22,42,52,25,77,38,111,149,42,104,146,31,41,72,85,94,179,174,191,365,56,61,117,1211,1328,2539
"Ixtenco, Tlaxcala",19.2518725,-97.8947561,"19.2518725,-97.8947561",182,49,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,11,0,0,0,189,53,242
"Muñoz de Domingo Arenas, Tlaxcala",19.474722,-98.208056,"19.474722,-98.208056",0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Nanacamilpa de Mariano Arista, Tlaxcala",19.5080315,-98.54324076456274,"19.5080315,-98.54324076456274",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2
"Natívitas, Tlaxcala",19.233333,-98.314722,"19.233333,-98.314722",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,4,16,0,0,0,0,0,0,13,4,17
"Papalotla de Xicohténcatl, Tlaxcala",19.168611,-98.203889,"19.168611,-98.203889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2
"San Jerónimo Zacualpan, Tlaxcala",19.240833,-98.261389,"19.240833,-98.261389",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
"San Juan Huactzinco, Tlaxcala",19.2329326,-98.2520375,"19.2329326,-98.2520375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
"San Pablo del Monte, Tlaxcala",19.126951849999998,-98.16539571695478,"19.126951849999998,-98.16539571695478",0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"Sanctórum de Lázaro Cárdenas, Tlaxcala",19.4925,-98.471944,"19.4925,-98.471944",11,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,13
"Santa Cruz Quilehtla, Tlaxcala",19.212222,-98.221111,"19.212222,-98.221111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,6,6,0,0,0,0,0,0,0,0,0,3,6,9
"Tetla de la Solidaridad, Tlaxcala",19.440556,-98.103333,"19.440556,-98.103333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2
"Tlaxcala, Tlaxcala",19.416667,-98.166667,"19.416667,-98.166667",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,23,7,30,0,0,0,26,7,33
