,filtered_secuencias,last_five_id,arc_sequences,start_id,end_id,region,suma_arcos,suma_dist
5142,"PG1695, PG1654, PG1614, PG1574, PG1456, PG1417, PG1378, PG1339, PG1301, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1229, PG1192, PG1193, PG1194, PG1155, PG1156","PG1192, PG1193, PG1194, PG1155, PG1156","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1456, PG1456-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1156",PG1695,PG1156,Golfo,135156.5,2350.6
5143,"PG1695, PG1654, PG1614, PG1574, PG1456, PG1417, PG1378, PG1339, PG1301, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1229, PG1192, PG1193, PG1194, PG1155, PG1233","PG1192, PG1193, PG1194, PG1155, PG1233","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1456, PG1456-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1233",PG1695,PG1233,Golfo,138318.0,2367.2
5144,"PG1695, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1339, PG1301, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1229, PG1192, PG1193, PG1194, PG1155, PG1156","PG1192, PG1193, PG1194, PG1155, PG1156","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1156",PG1695,PG1156,Golfo,122632.5,2415.6
5145,"PG1695, PG1654, PG1614, PG1574, PG1495, PG1417, PG1378, PG1339, PG1301, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1229, PG1192, PG1193, PG1194, PG1155, PG1233","PG1192, PG1193, PG1194, PG1155, PG1233","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1495, PG1495-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1233",PG1695,PG1233,Golfo,125794.0,2432.2
5146,"PG1695, PG1654, PG1614, PG1574, PG1456, PG1417, PG1378, PG1379, PG1340, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1192, PG1193, PG1194, PG1155, PG1156","PG1192, PG1193, PG1194, PG1155, PG1156","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1456, PG1456-PG1417, PG1417-PG1378, PG1378-PG1379, PG1379-PG1340, PG1340-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1156",PG1695,PG1156,Golfo,130783.5,2381.5
5147,"PG1695, PG1654, PG1614, PG1574, PG1456, PG1417, PG1378, PG1379, PG1340, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1190, PG1229, PG1192, PG1193, PG1194, PG1155, PG1233","PG1192, PG1193, PG1194, PG1155, PG1233","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1456, PG1456-PG1417, PG1417-PG1378, PG1378-PG1379, PG1379-PG1340, PG1340-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1233",PG1695,PG1233,Golfo,133945.0,2398.1
5148,"PG1695, PG1654, PG1614, PG1574, PG1456, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1190, PG1229, PG1192, PG1193, PG1194, PG1155, PG1156","PG1192, PG1193, PG1194, PG1155, PG1156","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1456, PG1456-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1156",PG1695,PG1156,Golfo,142978.5,2617.2000000000000
5149,"PG1695, PG1654, PG1614, PG1574, PG1456, PG1417, PG1378, PG1339, PG1301, PG1262, PG1223, PG1224, PG1185, PG1186, PG1187, PG1150, PG1190, PG1229, PG1192, PG1193, PG1194, PG1155, PG1233","PG1192, PG1193, PG1194, PG1155, PG1233","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1456, PG1456-PG1417, PG1417-PG1378, PG1378-PG1339, PG1339-PG1301, PG1301-PG1262, PG1262-PG1223, PG1223-PG1224, PG1224-PG1185, PG1185-PG1186, PG1186-PG1187, PG1187-PG1150, PG1150-PG1190, PG1190-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1233",PG1695,PG1233,Golfo,146140.0,2633.8
5150,"PG1695, PG1654, PG1614, PG1574, PG1456, PG1417, PG1378, PG1379, PG1340, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1229, PG1192, PG1193, PG1194, PG1155, PG1156","PG1192, PG1193, PG1194, PG1155, PG1156","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1456, PG1456-PG1417, PG1417-PG1378, PG1378-PG1379, PG1379-PG1340, PG1340-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1156",PG1695,PG1156,Golfo,130775.5,2306.1
5151,"PG1695, PG1654, PG1614, PG1574, PG1456, PG1417, PG1378, PG1379, PG1340, PG1302, PG1263, PG1264, PG1265, PG1226, PG1227, PG1228, PG1229, PG1192, PG1193, PG1194, PG1155, PG1233","PG1192, PG1193, PG1194, PG1155, PG1233","PG1695-PG1654, PG1654-PG1614, PG1614-PG1574, PG1574-PG1456, PG1456-PG1417, PG1417-PG1378, PG1378-PG1379, PG1379-PG1340, PG1340-PG1302, PG1302-PG1263, PG1263-PG1264, PG1264-PG1265, PG1265-PG1226, PG1226-PG1227, PG1227-PG1228, PG1228-PG1229, PG1229-PG1192, PG1192-PG1193, PG1193-PG1194, PG1194-PG1155, PG1155-PG1233",PG1695,PG1233,Golfo,133937.0,2322.7
