,sexo,edad,pais
290,Hombre,24,Guatemala
291,Hombre,25,Guatemala
292,Hombre,25,Guatemala
293,Hombre,25,Guatemala
294,Hombre,25,Guatemala
295,Hombre,22,Guatemala
296,Hombre,19,Guatemala
297,Hombre,25,Guatemala
298,Hombre,26,Guatemala
299,Hombre,24,Guatemala
300,Hombre,24,Guatemala
301,Hombre,25,Guatemala
302,Hombre,25,Guatemala
303,Hombre,21,Guatemala
304,Hombre,24,Guatemala
305,Hombre,20,Guatemala
306,Hombre,23,Guatemala
307,Hombre,28,Guatemala
308,Hombre,20,Honduras
309,Hombre,45,Guatemala
310,Mujer,20,Guatemala
311,Hombre,20,Guatemala
312,Mujer,17,Guatemala
313,Hombre,25,Guatemala
314,Mujer,21,Guatemala
315,Hombre,28,Guatemala
316,Hombre,25,Guatemala
317,Mujer,37,Guatemala
318,Hombre,21,Guatemala
319,Mujer,23,Guatemala
320,Hombre,25,Guatemala
321,Mujer,25,Guatemala
322,Mujer,25,Guatemala
323,Hombre,25,Guatemala
324,Mujer,30,Guatemala
325,Hombre,17,Guatemala
326,Mujer,32,Guatemala
327,Hombre,19,Guatemala
328,Mujer,30,Guatemala
329,Hombre,23,Guatemala
330,Hombre,30,Guatemala
331,Mujer,26,Guatemala
332,Hombre,23,Guatemala
333,Mujer,20,Guatemala
334,Mujer,23,Guatemala
335,Mujer,22,Guatemala
336,Mujer,17,Guatemala
337,Mujer,28,Guatemala
338,Hombre,31,Guatemala
339,Hombre,21,Guatemala
340,Mujer,24,Guatemala
341,Mujer,25,Guatemala
342,Mujer,36,Anguila
343,Mujer,33,Guatemala
344,Mujer,49,Guatemala
345,Hombre,15,Guatemala
346,Mujer,21,Guatemala
347,Hombre,36,Guatemala
348,Mujer,25,Guatemala
349,Hombre,21,Guatemala
350,Hombre,21,Guatemala
351,Hombre,27,Guatemala
352,Mujer,23,Guatemala
353,Mujer,20,Guatemala
354,Mujer,23,Guatemala
355,Mujer,26,Guatemala
356,Hombre,23,Guatemala
357,Mujer,21,Guatemala
358,Hombre,25,Guatemala
359,Hombre,24,Guatemala
360,Hombre,25,Guatemala
361,Mujer,17,Guatemala
362,Mujer,21,Guatemala
363,Hombre,18,Guatemala
