folio,unidad,trimestre,region,ciudad,punto,turno,sexo,edad,nacio,cruzar,trabajar,estuvo,p1,p1_1,p1_2,p1_2_1,p1_2_2_1,p1_2_2_2,p1_3,p2,p2_1,p3a,p3n,p4,p4_1,p5,p6,p6_1,p7,p7_1_1,p7_1_2,p7_1_3,p7_2,p7_3,p8,p8_1d,p8_1m,p8_1u,p8_1_1,p8_2e,p8_2m,p8_2l,p8_2u,p9,p9_1,p9_2,p9_2_1,p9_4,p9_5,p9_6_1,p9_6_2,p9_6_3,p9_6_4,p9_6_5,p9_6_6,p9_6_7,p9_7,p9_8,p9_9c,p9_9u,p9_9t,p9_10,p9_11,p9_11_1_1,p9_11_1_2,p9_12,p9_13,p9_14,p9_15_1,p9_15_2,p10,p11,p12,p13,p13_1,p13_2,p14,p14_1,p14_2,p15,p16,p16_1,p16_2,p16_3,p16_4,p17,p17_1f,p17_1p,p17_1u,p17_2e,p17_2m,p17_3,p18,p18_1,p18_2,p18_2_1,p18_2_2c,p18_2_2t,p19c,p19t,p20,p20_1c,p20_1t,p20_2,p21,p21_1c,p21_1t,p22c,p22t,p23,p24m,p24a,p25_1,p25_1_1,p25_2,p25_2_1,p25_3,p25_3_1,p26,p26_1,p26_2,p27,p28,p28_1f,p28_1p,p28_1u,p28_2e,p28_2m,p28_4,p28_5,p28_6,p28_7_1,p28_7_2,p28_7_3,p28_7_4,p28_7_5,p28_7_6,p28_7_7,p28_8,p28_9,p28_10c,p28_10u,p28_10t,p28_10_1,p28_11,p28_12,p29,p30,p31,nivel,oficio_mx,filtro,estrato,upm,ponfin3
169710,62210,4,1,1,3,2,1,34,56,1,1,-4,2,3,0,-6,-6,-6,-6,2,2,1,2,-8,2,1,1,-9,4,1,3,0,1,1,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,2,96,1,1217001,5,2,-20,-20,2,-22,2,1,5,1,2,2,34,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,3,0, ,1032,1032062210,18.4141025925299
170210,62210,4,1,1,3,2,1,35,56,1,1,-4,2,8,0,-6,-6,-6,-6,2,2,3,3,-8,2,1,1,-9,6,1,5,0,4,1,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,2,96,1,1217001,5,2,-20,-20,2,-22,1,1,5,1,2,2,48,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.4141025925299
170310,62210,4,1,1,3,2,1,30,56,1,1,-4,2,8,0,-6,-6,-6,-6,2,2,3,3,-8,2,1,1,-9,3,1,2,0,1,1,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,2,6,1,1217001,5,2,-20,-20,2,-22,2,1,5,1,2,2,12,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.4141025925299
170410,62210,4,1,1,3,2,1,29,19,1,1,-4,2,5,0,-6,-6,-6,-6,2,2,3,2,-8,2,6,2,2,5,1,4,0,3,2,19,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,2,96,1,1217001,5,2,-20,-20,2,-22,2,1,5,1,2,2,48,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,3,0, ,1032,1032062210,18.4141025925299
170610,62210,4,1,1,3,2,1,30,19,1,1,-4,2,5,0,-6,-6,-6,-6,2,2,3,3,-8,2,5,1,-9,4,2,2,0,1,1,19,-11,-11,-11,-11,-11,-11,-11,-11,2,1,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,3,-18,-18,1,2,2,2,96,1,1217001,5,2,-20,-20,2,-22,2,1,5,1,2,2,51,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.4141025925299
171310,62210,4,1,1,3,2,1,28,56,1,1,-4,2,5,0,-6,-6,-6,-6,2,2,3,3,-8,2,5,1,-9,4,2,2,0,1,1,56,-11,-11,-11,-11,-11,-11,-11,-11,2,1,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,1,2,2,2,96,1,1217001,5,2,-20,-20,2,-22,2,1,5,1,2,2,12,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.4141025925299
171410,62210,4,1,1,3,2,2,32,56,1,1,-4,2,9,4,2,4,96,0,2,2,3,3,-8,2,1,2,1,6,2,4,0,2,2,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,1,-16,511,1,1,2,2,2,2,2,2,8,6,20,2,5,722,2,-18,-18,1,2,2,2,96,1,1217001,5,2,-20,-20,1,6,-23,1,5,1,2,2,48,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.5912892828049
172010,62210,4,1,1,3,2,1,35,56,1,1,-4,2,3,0,-6,-6,-6,-6,2,2,3,3,-8,2,1,1,-9,4,1,3,0,2,1,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,2,96,1,1217001,5,2,-20,-20,2,-22,1,1,5,1,2,2,26,-25,-25,-25,-25,-25,-25,2,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.4141025925299
172011,42211,4,1,2,5,2,2,30,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,3,3,-8,2,5,2,1,3,1,2,0,2,2,1,12,1215,2,1,-13,-13,-13,-13,2,3,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,1,2,0,1215013,1,1,2,2,-21,-21,-21,1,4,-24,-24,-24,-24,2,-27,70890001,2,7,7089,2,1,4,1,1,2,6,8,1,888,2,6,7,-34,-34,-34,8,1,2019,11,2022,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70890001,2,7,7089,951,6,-44,1,2,2,2,2,2,2,8,7,150,1,2,98,463,2,2,-45,2,4,5,1,2052,2052042211,71.5956445001047
172110,62210,4,1,1,3,2,1,27,56,1,1,-4,2,3,0,-6,-6,-6,-6,2,2,3,3,-8,2,1,1,-9,3,1,2,0,1,1,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,1,96,1,1217001,5,2,-20,-20,2,-22,1,1,5,1,2,2,26,-25,-25,-25,-25,-25,-25,2,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.4141025925299
172510,62210,4,1,1,3,2,1,35,56,1,1,-4,2,6,0,-6,-6,-6,-6,2,2,2,3,-8,2,1,1,-9,5,2,3,0,2,1,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,2,96,1,1217001,5,2,-20,-20,2,-22,1,1,5,1,2,2,27,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.4141025925299
172810,62210,4,1,1,3,2,2,36,56,1,1,-4,2,3,0,-6,-6,-6,-6,2,2,3,3,-8,2,1,2,1,4,1,3,0,2,2,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,1,-16,522,1,2,2,2,2,2,2,2,8,6,15,2,3,812,2,-18,-18,1,2,2,1,96,1,1217001,5,2,-20,-20,2,-22,1,1,5,1,2,2,48,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.5912892828049
173510,62210,4,1,1,3,2,2,30,56,1,1,-4,2,5,1,3,-7,-7,-7,2,2,3,3,-8,2,6,2,2,6,1,5,0,2,2,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,2,1,1,1217001,5,2,-20,-20,1,6,-23,1,5,1,2,2,8,-25,-25,-25,-25,-25,-25,2,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.5912892828049
173610,62210,4,1,1,3,2,2,32,56,1,1,-4,2,5,1,1,4,1,0,2,2,3,2,-8,2,1,2,1,3,1,2,0,1,2,56,-11,-11,-11,-11,-11,-11,-11,-11,2,5,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,3,-18,-18,2,2,2,2,1,1,1217001,5,2,-20,-20,1,6,-23,1,5,1,2,2,8,-25,-25,-25,-25,-25,-25,2,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,3,0, ,1032,1032062210,18.5912892828049
174310,62210,4,1,1,3,2,1,42,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,3,2,-8,2,1,1,-9,5,1,4,0,2,1,1,12,1220,1,2,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,2,96,1,1217001,1,2,-20,-20,1,2,-23,1,4,-24,-24,-24,-24,1,70030450,-26,1,7,7003,2,1,1,1,1,3,6,1,5,36,-33,-33,-33,12,1,5,1,5,2019,9,2022,2,-37,2,-38,2,-39,2,-40,-40,1,1,70030450,-43,1,7,7003,611,2,2,2,1,1,2,2,2,2,8,6,250,1,2,1,111,2,2,-45,2,3,1,1,1032,1032062210,18.4141025925299
174910,62210,4,1,1,3,2,2,28,56,1,1,-4,2,4,0,-6,-6,-6,-6,2,2,3,3,-8,2,6,2,2,6,0,6,0,3,2,56,-11,-11,-11,-11,-11,-11,-11,-11,2,5,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,2,1,1,1217001,5,2,-20,-20,2,-22,1,1,5,1,2,2,21,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.5912892828049
175010,62210,4,1,1,3,2,1,35,56,1,1,-4,2,4,0,-6,-6,-6,-6,2,2,3,2,-8,2,5,1,-9,3,1,2,0,2,1,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,2,1,1,1217001,5,2,-20,-20,2,-22,2,1,5,1,2,2,21,-25,-25,-25,-25,-25,-25,2,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,3,0, ,1032,1032062210,18.4141025925299
175110,62210,4,1,1,3,2,1,40,56,1,1,-4,2,4,0,-6,-6,-6,-6,2,2,3,2,-8,2,2,1,-9,1,-10,-10,-10,-10,-10,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,2,1,1,1217001,5,2,-20,-20,2,-22,1,1,5,1,2,2,21,-25,-25,-25,-25,-25,-25,2,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,3,0, ,1032,1032062210,18.4141025925299
175510,62210,4,1,1,3,2,1,48,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,3,2,-8,2,1,1,-9,6,2,4,0,2,1,1,12,1222,2,2,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,2,1,2,1217001,1,1,1,2,-21,-21,-21,1,4,-24,-24,-24,-24,2,-27,70870001,2,7,7087,2,1,6,1,1,10,6,10,1,888,10,6,6,-34,-34,-34,10,1,2012,-36,-36,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70870184,1,7,7087,834,1,2,2,2,2,2,2,2,2,10,6,9500,1,5,1,484,2,2,-45,2,3,7,1,1032,1032062210,18.4141025925299
176010,62210,4,1,1,3,2,1,45,56,1,1,-4,2,4,0,-6,-6,-6,-6,2,2,1,3,-8,2,1,1,-9,7,2,5,0,2,1,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,2,1,1,1217001,5,2,-20,-20,2,-22,2,1,5,1,2,2,12,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.4141025925299
176510,62210,4,1,1,3,2,1,47,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,2,2,-8,2,5,1,-9,8,2,5,1,3,1,1,9,920,2,2,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,2,1,0,1217001,1,1,2,2,-21,-21,-21,1,4,-24,-24,-24,-24,1,70890513,-26,1,7,7089,2,1,1,1,1,6,6,1,5,60,-33,-33,-33,12,1,5,1,5,2016,9,2022,2,-37,2,-38,2,-39,2,-40,-40,1,1,70890513,-43,1,7,7089,611,2,2,1,1,2,2,2,2,2,8,6,290,1,2,1,111,2,2,-45,2,3,1,1,1032,1032062210,18.4141025925299
176810,62210,4,1,1,3,2,2,36,56,1,1,-4,2,5,0,-6,-6,-6,-6,2,2,1,4,-8,2,1,2,1,6,1,4,1,2,2,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,2,4,1,1217001,5,2,-20,-20,2,-22,4,1,5,1,2,2,45,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,5,0, ,1032,1032062210,18.5912892828049
176910,62210,4,1,1,3,2,1,21,56,1,1,-4,2,5,0,-6,-6,-6,-6,2,2,2,3,-8,2,6,1,-9,1,-10,-10,-10,-10,-10,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,2,4,1,1217001,5,2,-20,-20,2,-22,4,1,5,6,1,2,10,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,2,4,0, ,1032,1032062210,18.4141025925299
177010,62210,4,1,1,3,2,1,32,56,1,1,-4,2,5,0,-6,-6,-6,-6,2,2,3,3,-8,2,1,1,-9,5,2,3,0,2,1,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,2,1,1,1217001,5,2,-20,-20,2,-22,2,1,5,1,2,2,45,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.4141025925299
177611,42211,4,1,2,5,2,2,22,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,3,2,-8,1,6,2,2,8,4,4,0,3,2,1,12,1215,1,1,-13,-13,-13,-13,2,1,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,2,-18,-18,2,2,2,1,96,0,1215013,1,1,2,2,-21,-21,-21,1,4,-24,-24,-24,-24,2,-27,70150001,2,7,7015,2,1,5,1,1,5,5,10,1,888,5,5,6,-34,-34,-34,10,1,2022,11,2022,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70150001,2,7,7015,511,1,2,1,2,2,2,2,2,2,10,6,-998,-998,-998,-998,-998,-998,-998,-998,-998,3,7,1,2052,2052042211,71.5956445001047
177710,62210,4,1,1,3,2,1,21,16,1,1,-4,2,3,0,-6,-6,-6,-6,2,2,2,3,-8,2,1,1,-9,5,1,4,0,2,1,16,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,2,1,1,1217001,5,2,-20,-20,2,-22,2,1,5,1,2,2,37,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.4141025925299
178910,62210,4,1,1,3,2,1,36,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,6,1,1,2,1,1,-9,4,1,3,0,2,1,1,12,1216,2,2,-13,-13,-13,-13,1,-14,2,4,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,2,1,0,1217001,1,1,2,2,-21,-21,-21,1,4,-24,-24,-24,-24,2,-27,70870001,2,7,7087,2,1,6,1,1,5,6,8,1,888,5,6,6,-34,-34,-34,8,1,2017,-36,-36,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70870001,2,7,7087,933,1,2,2,2,2,2,2,2,2,8,6,2500,1,3,1,493,2,2,-45,2,2,7,1,1032,1032062210,18.4141025925299
179210,62210,4,1,1,3,2,1,36,56,1,1,-4,2,10,2,2,1,96,0,2,2,2,3,-8,2,1,1,-9,5,2,3,0,2,1,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,2,4,1,1217001,5,2,-20,-20,2,-22,2,1,5,1,2,2,48,-25,-25,-25,-25,-25,-25,2,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.4141025925299
179310,62210,4,1,1,3,2,1,35,56,1,1,-4,2,10,2,3,-7,-7,-7,2,2,2,3,-8,2,1,1,-9,6,3,3,0,2,1,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,3,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,1,2,2,2,4,1,1217001,5,2,-20,-20,2,-22,2,1,5,1,2,2,51,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,4,0, ,1032,1032062210,18.4141025925299
179311,42211,4,1,2,5,2,1,23,1,1,1,-4,1,-5,-5,-5,-5,-5,-5,2,2,6,1,1,2,6,2,2,5,99,99,99,3,2,1,12,1215,99,2,-13,-13,-13,-13,2,3,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,3,-18,-18,2,2,2,1,96,0,1215013,1,1,2,2,-21,-21,-21,1,5,99,2,2,98,-25,-25,-25,-25,-25,-25,2,1,2,1,1,1,6,8,1,888,2,6,6,-34,-34,-34,8,1,2020,-36,-36,2,-37,2,-38,2,-39,2,-40,-40,1,2,-42,70890001,2,7,7089,922,2,2,2,2,2,2,2,2,2,8,6,250,1,2,1,236,2,2,-45,2,2,3, ,2052,2052042211,69.8594671809857
179410,62210,4,1,1,3,2,1,27,56,1,1,-4,2,10,2,3,-7,-7,-7,2,2,3,2,-8,2,5,1,-9,4,1,3,0,2,1,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,2,2,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,-17,2,-18,-18,2,2,2,1,96,1,1217001,5,2,-20,-20,2,-22,2,1,5,1,2,2,51,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,3,0, ,1032,1032062210,18.4141025925299
179710,62210,4,1,1,3,2,1,26,56,1,1,-4,2,5,0,-6,-6,-6,-6,2,2,3,4,-8,2,1,1,-9,5,2,3,0,2,1,56,-11,-11,-11,-11,-11,-11,-11,-11,1,-14,1,-16,511,1,1,2,2,2,2,2,2,8,6,30,2,5,722,2,-18,-18,1,2,2,2,96,1,1217001,5,2,-20,-20,2,-22,2,1,5,1,2,2,8,-25,-25,-25,-25,-25,-25,1,2,-28,-28,-28,-28,-28,777,7,0,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,-31,2,-45,1,5,0, ,1032,1032062210,18.4141025925299
