ciudad,estado,ruta,detenciones,latitud,longitud,tipo,ID_Poligono,geometry,codigo_ruta,contador_xy,codigo_unico
"Frontera Comalapa, Chiapas",Chiapas,Ruta Sur, 802,15.6590135,-92.1422219,Presencia Migración Irregular,PG736,"POLYGON ((-93 16, -92 16, -92 15, -93 15, -93 16))",S,10,S-PG736-10
"Yajalon, Chiapas",Chiapas,Ruta Sur, 3,17.1768885,-92.3519609858044,Presencia Migración Irregular,PG738,"POLYGON ((-93 18, -92 18, -92 17, -93 17, -93 18))",S,1,S-PG738-1
"San Cristobal de las Casas, Chiapas",Chiapas,Ruta Sur, 745,16.6835469,-92.61551841991157,Presencia Migración Irregular,PG737,"POLYGON ((-93 17, -92 17, -92 16, -93 16, -93 17))",S,4,S-PG737-4
"Ocosingo, Chiapas",Chiapas,Ruta Sur, 182,16.9057,-92.092776,Presencia Migración Irregular,PG737,"POLYGON ((-93 17, -92 17, -92 16, -93 16, -93 17))",S,5,S-PG737-5
"Salto de Agua, Chiapas",Chiapas,Ruta Sur, 9,17.4348976,-92.22480249886088,Presencia Migración Irregular,PG738,"POLYGON ((-93 18, -92 18, -92 17, -93 17, -93 18))",S,2,S-PG738-2
"Chenalho, Chiapas",Chiapas,Ruta Sur, 341,16.971716100000002,-92.51921237690784,Presencia Migración Irregular,PG737,"POLYGON ((-93 17, -92 17, -92 16, -93 16, -93 17))",S,6,S-PG737-6
"Catazaja, Chiapas",Chiapas,Ruta Sur, 392,17.76826375,-92.03793125285311,Presencia Migración Irregular,PG738,"POLYGON ((-93 18, -92 18, -92 17, -93 17, -93 18))",S,7,S-PG738-7
"Palenque, Chiapas",Chiapas,Ruta Sur,9 027,17.509188,-91.980922,Presencia Migración Irregular,PG765,"POLYGON ((-92 18, -91 18, -91 17, -92 17, -92 18))",S,2,S-PG765-2
"Juarez, Chihuahua",Chihuahua,Ruta Centro,7 925,31.7372575,-106.485655,Presencia Migración Irregular,PG374,"POLYGON ((-107 32, -106 32, -106 31, -107 31, -107 32))",C,1,C-PG374-1
"Ojinaga, Chihuahua",Chihuahua,Ruta Centro, 94,29.5654282,-104.4128523,Presencia Migración Irregular,PG426,"POLYGON ((-105 30, -104 30, -104 29, -105 29, -105 30))",C,1,C-PG426-1
"Chihuahua, Chihuahua",Chihuahua,Ruta Centro,2 035,28.5000001,-106.0000001,Presencia Migración Irregular,PG371,"POLYGON ((-107 29, -106 29, -106 28, -107 28, -107 29))",C,1,C-PG371-1
"Janos, Chihuahua",Chihuahua,Ruta Centro, 129,30.8893267,-108.1930484,Presencia Migración Irregular,PG319,"POLYGON ((-109 31, -108 31, -108 30, -109 30, -109 31))",C,1,C-PG319-1
"Gustavo A. Madero, Ciudad de Mexico",Ciudad de Mexico,Ruta Centro,1 023,19.4831686,-99.1137888,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,9,C-PG551-9
"Coyoacan, Ciudad de Mexico",Ciudad de Mexico,Ruta Centro, 7,19.349885,-99.1623599,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,4,C-PG551-4
"Iztapalapa, Ciudad de Mexico",Ciudad de Mexico,Ruta Centro,6 176,19.3591195,-99.0929294,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,5,C-PG551-5
"Venustiano Carranza, Ciudad de Mexico",Ciudad de Mexico,Ruta Centro,1 851,19.4192787,-99.1135639,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,7,C-PG551-7
"Guerrero, Coahuila",Coahuila,Ruta Centro, 6,28.3093253,-100.3805564,Presencia Migración Irregular,PG533,"POLYGON ((-101 29, -100 29, -100 28, -101 28, -101 29))",C,1,C-PG533-1
"Allende, Coahuila",Coahuila,Ruta Centro, 289,28.3420816,-100.8517302,Presencia Migración Irregular,PG533,"POLYGON ((-101 29, -100 29, -100 28, -101 28, -101 29))",C,2,C-PG533-2
"Saltillo, Coahuila",Coahuila,Ruta Centro, 945,25.4230425,-100.9927509,Presencia Migración Irregular,PG530,"POLYGON ((-101 26, -100 26, -100 25, -101 25, -101 26))",C,1,C-PG530-1
"Nava, Coahuila",Coahuila,Ruta Centro, 3,28.4217309,-100.7674167,Presencia Migración Irregular,PG533,"POLYGON ((-101 29, -100 29, -100 28, -101 28, -101 29))",C,3,C-PG533-3
"Piedras Negras, Coahuila",Coahuila,Ruta Centro,21 201,28.7041725,-100.5148362,Presencia Migración Irregular,PG533,"POLYGON ((-101 29, -100 29, -100 28, -101 28, -101 29))",C,4,C-PG533-4
"Acuna, Coahuila",Coahuila,Ruta Centro,1 672,29.3248796,-100.9322287,Presencia Migración Irregular,PG534,"POLYGON ((-101 30, -100 30, -100 29, -101 29, -101 30))",C,1,C-PG534-1
"Francisco I. Madero, Coahuila",Coahuila,Ruta Centro, 25,26.23755265,-103.09965556876554,Presencia Migración Irregular,PG450,"POLYGON ((-104 27, -103 27, -103 26, -104 26, -104 27))",C,1,C-PG450-1
"Torreon, Coahuila",Coahuila,Ruta Centro, 825,25.542698,-103.410512,Presencia Migración Irregular,PG449,"POLYGON ((-104 26, -103 26, -103 25, -104 25, -104 26))",C,1,C-PG449-1
"Monclova, Coahuila",Coahuila,Ruta Centro,1 207,26.8999988,-101.4171173,Presencia Migración Irregular,PG504,"POLYGON ((-102 27, -101 27, -101 26, -102 26, -102 27))",C,1,C-PG504-1
"Manzanillo, Colima",Colima,Ruta del Pacifico, 9,19.0506256,-104.3159957,Presencia Migración Irregular,PG416,"POLYGON ((-105 20, -104 20, -104 19, -105 19, -105 20))",P,1,P-PG416-1
"Villa de Alvarez, Colima",Colima,Ruta del Pacifico, 2,19.2651417,-103.736013,Presencia Migración Irregular,PG443,"POLYGON ((-104 20, -103 20, -103 19, -104 19, -104 20))",P,2,P-PG443-2
"Colima, Colima",Colima,Ruta del Pacifico, 6,19.24487815537049,-103.7250306766154,Presencia Migración Irregular,PG443,"POLYGON ((-104 20, -103 20, -103 19, -104 19, -104 20))",P,1,P-PG443-1
"Gomez Palacio, Durango",Durango,Ruta Centro,1 048,25.5732473,-103.494779,Presencia Migración Irregular,PG449,"POLYGON ((-104 26, -103 26, -103 25, -104 25, -104 26))",C,2,C-PG449-2
"Mapimi, Durango",Durango,Ruta Centro, 23,25.8337403,-103.8480216,Presencia Migración Irregular,PG449,"POLYGON ((-104 26, -103 26, -103 25, -104 25, -104 26))",C,3,C-PG449-3
"Durango, Durango",Durango,Ruta Centro, 375,24.03507526470482,-104.66366132513204,Presencia Migración Irregular,PG421,"POLYGON ((-105 25, -104 25, -104 24, -105 24, -105 25))",C,1,C-PG421-1
"Tlalnepantla de Baz, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.54649025,-99.1899352247449,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,10,C-PG551-10
"Texcoco, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.5144327,-98.8821254,Presencia Migración Irregular,PG578,"POLYGON ((-99 20, -98 20, -98 19, -99 19, -99 20))",C,28,C-PG578-28
"Ixtapaluca, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.3129326,-98.8840481,Presencia Migración Irregular,PG578,"POLYGON ((-99 20, -98 20, -98 19, -99 19, -99 20))",C,12,C-PG578-12
"Xalatlaco, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.1843821,-99.4145622,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,1,C-PG551-1
"Ocoyoacac, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.2587373,-99.41777785971426,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,2,C-PG551-2
"Toluca, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.292545,-99.6569007,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,3,C-PG551-3
"Amecameca, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.120025400000003,-98.70653181362624,Presencia Migración Irregular,PG578,"POLYGON ((-99 20, -98 20, -98 19, -99 19, -99 20))",C,3,C-PG578-3
"Nezahualcoyotl, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.4079028,-99.0181547,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,6,C-PG551-6
"Naucalpan de Juarez, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.4788356,-99.2327986,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,8,C-PG551-8
"Acambay de Ruiz Castaneda, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.95904705,-99.84802086293078,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,18,C-PG551-18
"Chalco, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.2612215,-98.8958362,Presencia Migración Irregular,PG578,"POLYGON ((-99 20, -98 20, -98 19, -99 19, -99 20))",C,11,C-PG578-11
"Huehuetoca, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.833375,-99.2044638,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,16,C-PG551-16
"Atlacomulco, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.81591915,-99.86811932469178,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,15,C-PG551-15
"Zumpango, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.81293675,-99.08180953352704,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,14,C-PG551-14
"Tepotzotlan, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.7173392,-99.2230683,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,13,C-PG551-13
"Cuautitlan, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.6531356,-99.2145002,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,12,C-PG551-12
"Ecatepec de Morelos, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.6074415,-99.000754,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,11,C-PG551-11
"Apaxco, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.9807399,-99.15181011020428,Presencia Migración Irregular,PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",C,19,C-PG551-19
"Tecamac, Estado de Mexico",Estado de Mexico,Ruta Centro,,19.7115011,-98.968354,Presencia Migración Irregular,PG578,"POLYGON ((-99 20, -98 20, -98 19, -99 19, -99 20))",C,34,C-PG578-34
"Celaya, Guanajuato",Guanajuato,Ruta Centro, 8,20.521788,-100.8140458,Presencia Migración Irregular,PG525,"POLYGON ((-101 21, -100 21, -100 20, -101 20, -101 21))",C,2,C-PG525-2
