name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
 Hospedaje para trabajadores inmigrantes ,,,,,OSC / ONG,"Aldama # 937 entre Ocampo e Hidalgo Colonia Centro,Monterrey, Nuevo León",redes
 Casa del Forastero Santa Martha ,,,,,OSC / ONG,"José María Bocanegra Pte. No. 801 esquina con Amado Nervo Col. Industrial (Parroquia Santa Maria Goretti),Monterrey, Nuevo León",redes
 Albergue Ejército de Salvación ,,,,,OSC / ONG,"Carvajal y de la Cueva 1716 Norte, Col, Primero de Mayo, 64580,Monterrey, Nuevo León",redes
 Albergue y Comedor Público para Mujeres Migrantes Vislumbrando un Nuevo Horizonte ,,,,,OSC / ONG,"Av. 5 de Mayo 494, Col. Centro C.P. 64000,Monterrey, Nuevo León",redes
 Casa de Migrantes Casa Nicolás Tolentino ,,,,,OSC / ONG,"Emiliano Zapata 4417 esq. con Serafín Peña. Col. Guadalupe Victoria C.P. 67180,Ciudad Guadalupe, Nuevo León",redes
 Institución Normativa de los Indigentes (Casa INDI) ,,,,,OSC / ONG,"Av Bernardo Reyes 2616 Bella Vista, 64400 Monterrey, N.L.,Monterrey, Nuevo León",redes
 Centro de orientación del migrante de Oaxaca ,,,,,OSC / ONG,"Callejón de Guadalupe Victoria s/n, Col. Centro, C.P. 68000,Oaxaca, Oaxaca",redes
 Casa del Migrante Ruchagalú ,,,,,OSC / ONG,"Av. Primero de mayo #1110, Col. Rincón Viejo, Santa María Petapa, C.P. 70370,Matías Romero, Oaxaca",redes
 Capilla-Albergue Hermanos en el Camino A.C. ,,,,,OSC / ONG,"Av. Ferrocarril Pte. #60, Barrio ""La Soledad"" C.P. 70110,Ciudad Ixtepec, Oaxaca",redes
 Parroquia de la Asunción Ayuda Humanitaria a Migrantes en Tránsito ,,,,,OSC / ONG,"Calle 45 Norte 206, Col. Aquiles Serdán C.P. 72140,Puebla, Puebla",redes
