nombre,latitud,longitud,edo,tipo,ciudad,ID_Poligono,geometry,codigo_ruta,secuencia,codigo_unico
"Saltillo, A. I.",25.456279826312368,-100.96600974047595,Coahuila,Aeropuerto Internacional,"Saltillo, Coahuila",PG530,"POLYGON ((-101 26, -100 26, -100 25, -101 25, -101 26))",AI,1,AI-PG530-1
"Monterrey, A. I. ""Gral. Mariano Escobedo""",25.777369975420985,-100.11492445256783,Nuevo León,Aeropuerto Internacional,"Monterrey, Nuevo León",PG530,"POLYGON ((-101 26, -100 26, -100 25, -101 25, -101 26))",AI,2,AI-PG530-2
Piedras Negras II (terrestre) 9,28.697381790115017,-100.51247083314838,Coahuila,Cruce Fronterizo Terrestre,"Piedras Negras II , Coahuila",PG533,"POLYGON ((-101 29, -100 29, -100 28, -101 28, -101 29))",FN,1,FN-PG533-1
Ciudad Acuña (terrestre),29.332926131901367,-100.96617510467406,Coahuila,Cruce Fronterizo Terrestre,"Ciudad Acuña , Coahuila",PG534,"POLYGON ((-101 30, -100 30, -100 29, -101 29, -101 30))",FN,1,FN-PG534-1
"Ciudad Acuña, A. I.",29.33307578409917,-100.97033789304382,Coahuila,Aeropuerto Internacional,"Ciudad Acuña, Coahuila",PG534,"POLYGON ((-101 30, -100 30, -100 29, -101 29, -101 30))",AI,2,AI-PG534-2
"Acapulco, A. I. ""Plan de los Amates""",16.761797515396246,-99.75594331534404,Guerrero,Aeropuerto Internacional,"Acapulco, Guerrero",PG548,"POLYGON ((-100 17, -99 17, -99 16, -100 16, -100 17))",AI,1,AI-PG548-1
Acapulco (marítimo) 10,16.8680495,-99.8940182,Guerrero,Puerto Internacion Maritimo,"Acapulco , Guerrero",PG548,"POLYGON ((-100 17, -99 17, -99 16, -100 16, -100 17))",PM,2,PM-PG548-2
"Cuernavaca, A. I. ""Gral. Mariano Matamoros""",18.83319256234764,-99.2612599667938,Morelos,Aeropuerto Internacional,"Cuernavaca, Morelos",PG550,"POLYGON ((-100 19, -99 19, -99 18, -100 18, -100 19))",AI,1,AI-PG550-1
"Toluca, A. I.",19.33761668587876,-99.57135892698398,México,Aeropuerto Internacional,"Toluca, México",PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",AI,1,AI-PG551-1
"Ciudad de México, A. I. ""Benito Juárez""",19.436308882696103,-99.07164008397471,Ciudad de México,Aeropuerto Internacional,"Ciudad de México, Ciudad de México",PG551,"POLYGON ((-100 20, -99 20, -99 19, -100 19, -100 20))",AI,2,AI-PG551-2
